sequence_index,return,first_chamber_filling,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000170,259.32053,96.08799,77.87713,16,24
1970-01-01 00:00:00.000000171,260.38687,95.950134,78.3968,16,25
1970-01-01 00:00:00.000000123,145.29593,93.60628,66.31558,17,10
1970-01-01 00:00:00.000000124,142.20486,93.57252,65.73881,17,11
1970-01-01 00:00:00.000000125,138.40744,93.4153,65.479355,17,12
1970-01-01 00:00:00.000000126,128.7817,93.36227,66.03394,17,13
1970-01-01 00:00:00.000000127,118.0345,92.5897,66.19696,17,14
1970-01-01 00:00:00.000000128,116.255,91.52005,65.93845,17,15
1970-01-01 00:00:00.000000129,104.29481,90.68287,64.61613,17,16
1970-01-01 00:00:00.000000130,95.618065,88.48958,64.18211,17,17
1970-01-01 00:00:00.000000131,117.1257,88.84934,63.935192,17,18
1970-01-01 00:00:00.000000132,118.84389,89.66372,63.945156,17,19
1970-01-01 00:00:00.000000134,199.3888,99.564064,84.93634,19,10
1970-01-01 00:00:00.000000135,198.32094,99.561165,84.928635,19,11
1970-01-01 00:00:00.000000136,189.2893,99.56503,85.03279,19,12
1970-01-01 00:00:00.000000137,185.54784,99.56213,84.975876,19,13
1970-01-01 00:00:00.000000138,187.776,99.5573,84.938286,19,14
1970-01-01 00:00:00.000000139,186.2898,99.558266,84.61324,19,15
1970-01-01 00:00:00.000000140,185.9109,99.563095,84.69619,19,16
1970-01-01 00:00:00.000000141,186.31097,99.5602,84.95853,19,17
1970-01-01 00:00:00.000000142,194.2764,99.558266,85.295135,19,18
1970-01-01 00:00:00.000000143,203.13463,99.55923,85.31732,19,19
1970-01-01 00:00:00.000000144,195.47623,99.55537,85.83912,19,20
1970-01-01 00:00:00.000000145,257.25455,99.04069,86.756584,19,21
1970-01-01 00:00:00.000000121,181.73453,96.98785,70.2228,20,10
1970-01-01 00:00:00.000000122,182.46983,97.2145,70.75039,20,11
1970-01-01 00:00:00.000000123,178.17203,97.56169,71.66473,20,12
1970-01-01 00:00:00.000000124,181.8644,97.228004,71.6927,20,13
1970-01-01 00:00:00.000000125,185.9246,97.03029,71.18731,20,14
1970-01-01 00:00:00.000000126,184.58337,97.11228,71.264465,20,15
1970-01-01 00:00:00.000000127,182.841,97.10843,71.173805,20,16
1970-01-01 00:00:00.000000128,177.90184,96.96761,70.83913,20,17
1970-01-01 00:00:00.000000129,177.17523,96.91841,70.2334,20,18
1970-01-01 00:00:00.000000130,176.2841,96.41701,70.02914,20,19
1970-01-01 00:00:00.000000130,118.30963,97.574265,73.31404,21,10
1970-01-01 00:00:00.000000131,143.69566,98.00154,74.545715,21,11
1970-01-01 00:00:00.000000132,154.51874,97.692894,75.048225,21,12
1970-01-01 00:00:00.000000133,161.41103,97.16724,74.58718,21,13
1970-01-01 00:00:00.000000134,164.2307,96.9512,74.10108,21,14
1970-01-01 00:00:00.000000135,159.1726,96.38793,74.26504,21,15
1970-01-01 00:00:00.000000136,150.05347,95.78801,75.23245,21,16
1970-01-01 00:00:00.000000137,146.9545,95.49963,75.400276,21,17
1970-01-01 00:00:00.000000138,145.60674,95.4948,75.63175,21,18
1970-01-01 00:00:00.000000139,143.70137,95.15431,74.520645,21,19
1970-01-01 00:00:00.000000140,144.22833,94.5409,73.7172,21,20
1970-01-01 00:00:00.000000171,135.47527,97.477806,58.413395,22,10
1970-01-01 00:00:00.000000172,131.29643,97.35534,57.615738,22,11
1970-01-01 00:00:00.000000173,129.59196,97.05151,57.44984,22,12
1970-01-01 00:00:00.000000174,142.25023,95.670334,57.81925,22,13
1970-01-01 00:00:00.000000175,136.8329,94.30462,58.125004,22,14
1970-01-01 00:00:00.000000176,133.87157,94.52837,55.724354,22,15
1970-01-01 00:00:00.000000177,110.289764,95.61057,55.36748,22,16
1970-01-01 00:00:00.000000178,109.88343,95.74847,55.750393,22,17
1970-01-01 00:00:00.000000179,111.55597,96.07833,55.679966,22,18
1970-01-01 00:00:00.000000180,117.73327,96.13428,55.45524,22,19
1970-01-01 00:00:00.000000181,106.75487,96.13621,55.09838,22,20
1970-01-01 00:00:00.000000182,104.64577,96.10823,54.619022,22,21
1970-01-01 00:00:00.000000183,110.78384,95.762955,54.66725,22,22
1970-01-01 00:00:00.000000184,98.022026,95.1196,53.90238,22,23
1970-01-01 00:00:00.000000185,84.03734,94.970116,53.38445,22,24
1970-01-01 00:00:00.000000186,80.63469,94.48497,53.45967,22,25
1970-01-01 00:00:00.000000187,80.58432,93.970894,53.231106,22,26
1970-01-01 00:00:00.000000188,71.56688,92.457565,53.92651,22,27
1970-01-01 00:00:00.000000189,75.19131,89.766594,54.041275,22,28
1970-01-01 00:00:00.000000130,219.98207,93.091255,74.352806,23,10
1970-01-01 00:00:00.000000131,220.1183,93.149124,74.16282,23,11
1970-01-01 00:00:00.000000132,220.59497,93.1713,74.48206,23,12
