RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling
all_targets,4,3,NaiveLastValue,3.4729583,3.883443,7.369443,8.242696,1.3671467,1.5292658,1.6822929,1.8783622
all_targets,4,3,LinearRegression,2.8709083,3.248859,5.7235403,6.493117,1.4582952,1.6306775,1.4308861,1.6227856
all_targets,4,3,Chronos2,3.7637725,4.199483,7.9069343,8.831574,1.5354975,1.7064242,1.8488755,2.0604458
all_targets,4,3,NeuralForecast_BiTCN,4.1034684,4.4916263,7.914364,8.74186,1.7260884,1.8805668,2.6699553,2.8524458
all_targets,4,3,NeuralForecast_TSMixer,3.2893689,3.7444766,6.45493,7.290706,1.9446648,2.2558627,1.4685159,1.6868699
all_targets,4,3,NeuralForecast_Nhits,3.3647442,3.7853656,6.427418,7.2467313,1.4633614,1.6490881,2.203466,2.4602766
all_targets,4,3,NeuralForecast_XLinear,3.3642104,3.7894773,6.80811,7.679632,1.4876102,1.6616437,1.7969096,2.0271492
all_targets,4,3,NeuralForecast_TFT,3.8433025,4.251655,8.003026,8.878135,1.5412542,1.6996155,1.9856471,2.1772199
all_targets,6,1,NaiveLastValue,2.1872702,2.1872702,4.791285,4.791285,0.8430764,0.8430764,0.9274494,0.9274494
all_targets,6,1,LinearRegression,1.8345441,1.8345441,3.7786808,3.7786808,0.92695,0.92695,0.797997,0.797997
all_targets,6,1,Chronos2,2.3008995,2.3008995,4.7948074,4.7948074,1.0181042,1.0181042,1.0897875,1.0897875
all_targets,6,1,NeuralForecast_BiTCN,2.8919117,2.8919117,5.6810946,5.6810946,1.1841859,1.1841859,1.8104472,1.8104472
all_targets,6,1,NeuralForecast_TSMixer,2.0829484,2.0829484,4.3798957,4.3798957,0.8844737,0.8844737,0.9844825,0.9844825
all_targets,6,1,NeuralForecast_Nhits,2.5876253,2.5876253,5.0333843,5.0333843,1.0799917,1.0799917,1.6494979,1.6494979
all_targets,6,1,NeuralForecast_XLinear,2.0956078,2.0956078,4.469659,4.469659,0.8621337,0.8621337,0.95503175,0.95503175
all_targets,6,1,NeuralForecast_TFT,2.2230375,2.2230375,4.6031175,4.6031175,0.95849633,0.95849633,1.1074983,1.1074983
all_targets,6,2,NaiveLastValue,2.8287034,3.0667527,6.0641184,6.5839553,1.1122011,1.2022029,1.3097991,1.4141098
all_targets,6,2,LinearRegression,2.367671,2.5919604,4.7171707,5.1826816,1.2567923,1.3576825,1.1290548,1.2355163
all_targets,6,2,Chronos2,3.0028706,3.2609959,6.175151,6.733868,1.3213044,1.4171158,1.5121611,1.6320024
all_targets,6,2,NeuralForecast_BiTCN,3.815747,4.0390897,7.7286654,8.217689,1.4834644,1.5729669,2.2351105,2.3266132
all_targets,6,2,NeuralForecast_TSMixer,2.9634418,3.2942803,5.546433,6.046176,1.8359058,2.107252,1.5079895,1.7294225
all_targets,6,2,NeuralForecast_Nhits,2.9851542,3.2272737,6.1076484,6.6159434,1.1887542,1.2844735,1.6590532,1.7814056
all_targets,6,2,NeuralForecast_XLinear,2.7865028,3.0373373,5.6056952,6.122876,1.269815,1.369939,1.4840033,1.6191933
all_targets,6,2,NeuralForecast_TFT,3.0486505,3.2869618,6.251044,6.771314,1.2720745,1.3618281,1.6228309,1.7277482
all_targets,6,3,NaiveLastValue,3.4729583,3.883443,7.369443,8.242696,1.3671467,1.5292658,1.6822929,1.8783622
all_targets,6,3,LinearRegression,2.8845947,3.2585506,5.678663,6.4288087,1.5058135,1.6857606,1.4692984,1.6610758
all_targets,6,3,Chronos2,3.6733775,4.1181946,7.537561,8.482442,1.5762556,1.7464236,1.9063053,2.1257195
all_targets,6,3,NeuralForecast_BiTCN,4.347128,4.731976,8.627766,9.448631,1.7281214,1.8828397,2.6854982,2.864465
all_targets,6,3,NeuralForecast_TSMixer,3.441168,3.9387658,6.52529,7.3976016,2.3093138,2.7200737,1.4889024,1.6986264
all_targets,6,3,NeuralForecast_Nhits,4.1487274,4.5994997,8.422586,9.362416,1.6013672,1.7752742,2.4222193,2.6608078
all_targets,6,3,NeuralForecast_XLinear,3.516005,3.9480033,6.800989,7.6791368,1.6725394,1.8507807,2.0744965,2.314096
all_targets,6,3,NeuralForecast_TFT,4.3075447,4.726357,7.7302322,8.628224,2.0962007,2.2544494,3.0961945,3.2963934
all_targets,8,1,NaiveLastValue,2.1872702,2.1872702,4.791285,4.791285,0.8430764,0.8430764,0.9274494,0.9274494
all_targets,8,1,LinearRegression,1.8330429,1.8330429,3.7603762,3.7603762,0.94324416,0.94324416,0.7955096,0.7955096
all_targets,8,1,Chronos2,2.3286753,2.3286753,4.823303,4.823303,1.0426426,1.0426426,1.1200798,1.1200798
all_targets,8,1,NeuralForecast_BiTCN,3.0220258,3.0220258,6.141256,6.141256,1.1803608,1.1803608,1.7444623,1.7444623
all_targets,8,1,NeuralForecast_TSMixer,2.2901971,2.2901971,4.7594447,4.7594447,1.283236,1.283236,0.8279112,0.8279112
all_targets,8,1,NeuralForecast_Nhits,2.2652428,2.2652428,4.6318774,4.6318774,0.93370813,0.93370813,1.2301469,1.2301469
all_targets,8,1,NeuralForecast_XLinear,2.1708758,2.1708758,4.5122633,4.5122633,0.9216807,0.9216807,1.0786768,1.0786768
all_targets,8,1,NeuralForecast_TFT,2.3273156,2.3273156,4.9616823,4.9616823,0.9514797,0.9514797,1.0687807,1.0687807
all_targets,8,2,NaiveLastValue,2.8287034,3.0667527,6.0641184,6.5839553,1.1122011,1.2022029,1.3097991,1.4141098
all_targets,8,2,LinearRegression,2.3480024,2.5728855,4.6582146,5.123466,1.2699548,1.3728684,1.1158407,1.2223337
all_targets,8,2,Chronos2,3.0111177,3.2647302,6.179914,6.7251825,1.3332868,1.4284511,1.5201483,1.6405555
all_targets,8,2,NeuralForecast_BiTCN,3.7319894,3.9615915,7.252074,7.7619247,1.5221137,1.61042,2.4217737,2.5124288
all_targets,8,2,NeuralForecast_TSMixer,2.5849435,2.8182995,5.369614,5.8612194,1.2426443,1.3446945,1.1425797,1.2489856
all_targets,8,2,NeuralForecast_Nhits,2.9539442,3.1883638,6.1998634,6.7000265,1.1370016,1.2259893,1.5249685,1.6390747
all_targets,8,2,NeuralForecast_XLinear,2.7976856,3.0519083,5.675258,6.1976924,1.2535303,1.3552052,1.4642811,1.6028311
all_targets,8,2,NeuralForecast_TFT,3.1151943,3.3522835,6.3980794,6.910998,1.3014338,1.3903146,1.646078,1.7555431
all_targets,8,3,NaiveLastValue,3.4729583,3.883443,7.369443,8.242696,1.3671467,1.5292658,1.6822929,1.8783622
all_targets,8,3,LinearRegression,2.8603845,3.2338963,5.604269,6.3472857,1.522674,1.7083114,1.4542096,1.6460919
all_targets,8,3,Chronos2,3.6655772,4.1061463,7.5108724,8.435196,1.576166,1.7477376,1.9096683,2.1355033
all_targets,8,3,NeuralForecast_BiTCN,4.2334847,4.6245904,8.250688,9.091567,1.726522,1.8827342,2.7232423,2.899467
all_targets,8,3,NeuralForecast_TSMixer,3.5547078,4.03075,6.481195,7.2975893,2.7571576,3.1502352,1.4257817,1.6444114
all_targets,8,3,NeuralForecast_Nhits,3.9455094,4.3803864,7.4423213,8.313764,1.7521207,1.9346144,2.6420946,2.8927763
all_targets,8,3,NeuralForecast_XLinear,3.518337,3.9421036,6.8229833,7.6978817,1.6855191,1.8598789,2.0465086,2.2685494
all_targets,8,3,NeuralForecast_TFT,4.2398553,4.6572046,7.339574,8.237051,2.1543865,2.3110821,3.2256076,3.423494
all_targets,10,1,NaiveLastValue,2.1872702,2.1872702,4.791285,4.791285,0.8430764,0.8430764,0.9274494,0.9274494
all_targets,10,1,LinearRegression,1.8460506,1.8460506,3.7805314,3.7805314,0.95417786,0.95417786,0.80343956,0.80343956
all_targets,10,1,Chronos2,2.3193533,2.3193533,4.8779964,4.8779964,1.0187192,1.0187192,1.061341,1.061341
all_targets,10,1,NeuralForecast_BiTCN,3.1290379,3.1290379,6.3306036,6.3306036,1.2223424,1.2223424,1.8341595,1.8341595
all_targets,10,1,NeuralForecast_TSMixer,2.406542,2.406542,4.400934,4.400934,1.8815013,1.8815013,0.9371952,0.9371952
all_targets,10,1,NeuralForecast_Nhits,2.6483612,2.6483612,5.5667443,5.5667443,1.0209997,1.0209997,1.3573455,1.3573455
all_targets,10,1,NeuralForecast_XLinear,2.1888657,2.1888657,4.7231154,4.7231154,0.8587762,0.8587762,0.98470134,0.98470134
all_targets,10,1,NeuralForecast_TFT,2.371274,2.371274,5.1134257,5.1134257,0.9353906,0.9353906,1.0650029,1.0650029
all_targets,10,2,NaiveLastValue,2.8287034,3.0667527,6.0641184,6.5839553,1.1122011,1.2022029,1.3097991,1.4141098
all_targets,10,2,LinearRegression,2.35147,2.5763543,4.638984,5.100914,1.2849576,1.391496,1.1304667,1.23666
all_targets,10,2,Chronos2,2.9744313,3.2215047,6.182756,6.7119937,1.3019729,1.3983662,1.4385661,1.5541544
all_targets,10,2,NeuralForecast_BiTCN,3.90853,4.1350436,7.7647734,8.263261,1.5565249,1.6448033,2.4042895,2.4970608
all_targets,10,2,NeuralForecast_TSMixer,2.7922492,3.0395215,5.536253,6.0242057,1.6974308,1.8435403,1.1430703,1.2508165
