epoch,step,train_loss,val_loss
0,0,0.03898641839623451,
0,1,11.038224220275879,
0,2,1.4367451667785645,
0,3,2.720759630203247,
0,4,0.5760224461555481,
0,5,2.058824300765991,
0,6,0.8940058946609497,
0,7,0.2351100593805313,
0,8,0.365126371383667,
0,9,0.41601690649986267,
0,10,0.2518289387226105,
0,11,0.02709973230957985,
0,12,0.16501958668231964,
0,13,0.1578417420387268,
0,14,0.052193090319633484,
0,15,0.13068251311779022,
0,16,0.16777867078781128,
0,17,0.1259206086397171,
0,18,0.042485810816287994,
0,19,0.0818658396601677,
0,20,0.11309946328401566,
0,21,0.0967678502202034,
0,22,0.05200554057955742,
0,23,0.045253340154886246,
0,24,0.0716085135936737,
0,25,0.07124772667884827,
0,26,0.05007365345954895,
0,27,0.027281785383820534,
0,28,0.04917781054973602,
0,29,0.05193277448415756,
0,30,0.04497525840997696,
0,31,0.025625204667448997,
0,32,0.032195862382650375,
0,33,0.04264754801988602,
0,34,0.02994040958583355,
0,35,0.028397012501955032,
0,36,0.028252044692635536,
0,37,0.03274541720747948,
0,38,0.026506364345550537,
0,39,0.028320951387286186,
0,40,0.03185318037867546,
0,41,0.030461955815553665,
0,42,0.028648510575294495,
0,43,0.027550462633371353,
0,44,0.024800926446914673,
0,45,0.02842598780989647,
0,46,0.026713183149695396,
0,47,0.03193769231438637,
0,48,0.028568821027874947,
0,49,0.02803853526711464,
0,49,,0.0193166621029377
1,50,0.028003863990306854,
1,51,0.027450120076537132,
1,52,0.023220188915729523,
1,53,0.022931184619665146,
1,54,0.02729974314570427,
1,55,0.028772816061973572,
1,56,0.02291051670908928,
1,57,0.02574966661632061,
1,58,0.02802378684282303,
1,59,0.028513828292489052,
1,60,0.02954202890396118,
1,61,0.025039685890078545,
1,62,0.024052472785115242,
1,63,0.026710284873843193,
1,64,0.030364442616701126,
1,65,0.024037085473537445,
1,66,0.031705521047115326,
1,67,0.032945044338703156,
1,68,0.029562411829829216,
1,69,0.02298010140657425,
1,70,0.03552763909101486,
1,71,0.02678772062063217,
1,72,0.027983244508504868,
1,73,0.025671418756246567,
1,74,0.023709692060947418,
1,75,0.030799562111496925,
1,76,0.02548992447555065,
1,77,0.030086159706115723,
1,78,0.031145013868808746,
1,79,0.03167235478758812,
1,80,0.02332123927772045,
1,81,0.019806092604994774,
1,82,0.023602919653058052,
1,83,0.023259129375219345,
1,84,0.0264213178306818,
1,85,0.031941987574100494,
1,86,0.02956197038292885,
1,87,0.03571717068552971,
1,88,0.023800157010555267,
1,89,0.02451467141509056,
1,90,0.024763308465480804,
1,91,0.036992158740758896,
1,92,0.024608755484223366,
1,93,0.02497953549027443,
1,94,0.02721256949007511,
1,95,0.03219689428806305,
1,96,0.035809483379125595,
1,97,0.026328835636377335,
1,98,0.03330565616488457,
1,99,0.02587437443435192,
1,99,,0.017041807994246483
2,100,0.02572554722428322,
2,101,0.02380005083978176,
2,102,0.033619415014982224,
2,103,0.02977006509900093,
2,104,0.029429391026496887,
2,105,0.026369240134954453,
2,106,0.030021358281373978,
2,107,0.028363974764943123,
2,108,0.030192092061042786,
2,109,0.02423216588795185,
2,110,0.030405167490243912,
2,111,0.028860976919531822,
2,112,0.02943509817123413,
2,113,0.028711626306176186,
2,114,0.032602060586214066,
2,115,0.028942933306097984,
2,116,0.029344461858272552,
2,117,0.02932455763220787,
2,118,0.02646237425506115,
2,119,0.026219889521598816,
2,120,0.021884337067604065,
2,121,0.035722699016332626,
2,122,0.027400825172662735,
2,123,0.025360312312841415,
2,124,0.026721365749835968,
2,125,0.023404289036989212,
2,126,0.03221559152007103,
2,127,0.02078838273882866,
2,128,0.023459605872631073,
2,129,0.02875838801264763,
2,130,0.026386797428131104,
2,131,0.035351287573575974,
2,132,0.030955340713262558,
2,133,0.021623268723487854,
2,134,0.025667205452919006,
2,135,0.03026011399924755,
2,136,0.026784148067235947,
2,137,0.03001350536942482,
2,138,0.027760643512010574,
2,139,0.025185924023389816,
2,140,0.02520437352359295,
2,141,0.026768311858177185,
2,142,0.025461774319410324,
