RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_first_chamber_filling,RMSE_first_chamber_filling
target_first_chamber_filling,6,1,NeuralForecast_TFT,0.9552055,0.9552055,0.9552055,0.9552055
target_first_chamber_filling,6,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
target_first_chamber_filling,6,2,LinearRegression,1.3660934,1.4818952,1.3660934,1.4818952
target_first_chamber_filling,6,2,Chronos2,1.3675839,1.4717381,1.3675839,1.4717381
target_first_chamber_filling,6,2,NeuralForecast_BiTCN,1.7935644,1.8776232,1.7935644,1.8776232
target_first_chamber_filling,6,2,NeuralForecast_TSMixer,1.2867489,1.4241133,1.2867489,1.4241133
target_first_chamber_filling,6,2,NeuralForecast_Nhits,1.0118442,1.1086063,1.0118442,1.1086063
target_first_chamber_filling,6,2,NeuralForecast_XLinear,1.5025887,1.6142738,1.5025887,1.6142738
target_first_chamber_filling,6,2,NeuralForecast_TFT,1.3106852,1.4005487,1.3106852,1.4005487
target_first_chamber_filling,6,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
target_first_chamber_filling,6,3,LinearRegression,1.6787001,1.885,1.6787001,1.885
target_first_chamber_filling,6,3,Chronos2,1.6345699,1.8165183,1.6345699,1.8165183
target_first_chamber_filling,6,3,NeuralForecast_BiTCN,2.1275334,2.2749825,2.1275334,2.2749825
target_first_chamber_filling,6,3,NeuralForecast_TSMixer,1.7199435,2.0094516,1.7199435,2.0094516
target_first_chamber_filling,6,3,NeuralForecast_Nhits,1.539184,1.6989175,1.539184,1.6989175
target_first_chamber_filling,6,3,NeuralForecast_XLinear,1.800424,1.9981188,1.800424,1.9981188
target_first_chamber_filling,6,3,NeuralForecast_TFT,1.6619548,1.8085207,1.6619548,1.8085207
target_first_chamber_filling,8,1,NaiveLastValue,0.8430764,0.8430764,0.8430764,0.8430764
target_first_chamber_filling,8,1,LinearRegression,0.9996636,0.9996636,0.9996636,0.9996636
target_first_chamber_filling,8,1,Chronos2,1.0695341,1.0695341,1.0695341,1.0695341
target_first_chamber_filling,8,1,NeuralForecast_BiTCN,1.306847,1.306847,1.306847,1.306847
target_first_chamber_filling,8,1,NeuralForecast_TSMixer,1.0301824,1.0301824,1.0301824,1.0301824
target_first_chamber_filling,8,1,NeuralForecast_Nhits,1.2405591,1.2405591,1.2405591,1.2405591
