RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_gran1_blain,RMSE_gran1_blain
target_gran1_blain,6,2,NeuralForecast_XLinear,29.97091,32.986538,29.97091,32.986538
target_gran1_blain,6,2,NeuralForecast_TFT,41.29978,43.607304,41.29978,43.607304
target_gran1_blain,6,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
target_gran1_blain,6,3,LinearRegression,29.980051,33.55254,29.980051,33.55254
target_gran1_blain,6,3,Chronos2,42.05566,45.95558,42.05566,45.95558
target_gran1_blain,6,3,NeuralForecast_BiTCN,60.89395,64.392746,60.89395,64.392746
target_gran1_blain,6,3,NeuralForecast_TSMixer,42.19688,45.995125,42.19688,45.995125
target_gran1_blain,6,3,NeuralForecast_Nhits,38.42924,41.701096,38.42924,41.701096
target_gran1_blain,6,3,NeuralForecast_XLinear,39.53227,44.506023,39.53227,44.506023
target_gran1_blain,6,3,NeuralForecast_TFT,48.242943,52.086163,48.242943,52.086163
target_gran1_blain,8,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
target_gran1_blain,8,1,LinearRegression,14.998278,14.998278,14.998278,14.998278
target_gran1_blain,8,1,Chronos2,21.889923,21.889923,21.889923,21.889923
target_gran1_blain,8,1,NeuralForecast_BiTCN,55.36107,55.36107,55.36107,55.36107
target_gran1_blain,8,1,NeuralForecast_TSMixer,20.111614,20.111614,20.111614,20.111614
target_gran1_blain,8,1,NeuralForecast_Nhits,21.389658,21.389658,21.389658,21.389658
target_gran1_blain,8,1,NeuralForecast_XLinear,16.066044,16.066044,16.066044,16.066044
target_gran1_blain,8,1,NeuralForecast_TFT,43.268204,43.268204,43.268204,43.268204
target_gran1_blain,8,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
target_gran1_blain,8,2,LinearRegression,24.7385,27.0639,24.7385,27.0639
target_gran1_blain,8,2,Chronos2,32.388557,34.845284,32.388557,34.845284
target_gran1_blain,8,2,NeuralForecast_BiTCN,59.86423,62.23096,59.86423,62.23096
target_gran1_blain,8,2,NeuralForecast_TSMixer,32.428356,34.877754,32.428356,34.877754
target_gran1_blain,8,2,NeuralForecast_Nhits,31.607481,33.541573,31.607481,33.541573
target_gran1_blain,8,2,NeuralForecast_XLinear,29.502375,32.364605,29.502375,32.364605
target_gran1_blain,8,2,NeuralForecast_TFT,59.72007,61.623707,59.72007,61.623707
target_gran1_blain,8,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
target_gran1_blain,8,3,LinearRegression,29.766489,33.39133,29.766489,33.39133
target_gran1_blain,8,3,Chronos2,40.866688,44.996735,40.866688,44.996735
target_gran1_blain,8,3,NeuralForecast_BiTCN,65.214935,68.7521,65.214935,68.7521
target_gran1_blain,8,3,NeuralForecast_TSMixer,38.210228,42.56908,38.210228,42.56908
target_gran1_blain,8,3,NeuralForecast_Nhits,41.047318,44.647377,41.047318,44.647377
target_gran1_blain,8,3,NeuralForecast_XLinear,39.307735,44.094433,39.307735,44.094433
target_gran1_blain,8,3,NeuralForecast_TFT,61.86379,65.05224,61.86379,65.05224
target_gran1_blain,10,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
target_gran1_blain,10,1,LinearRegression,15.768688,15.768688,15.768688,15.768688
target_gran1_blain,10,1,Chronos2,21.564407,21.564407,21.564407,21.564407
target_gran1_blain,10,1,NeuralForecast_BiTCN,59.501713,59.501713,59.501713,59.501713
target_gran1_blain,10,1,NeuralForecast_TSMixer,25.624586,25.624586,25.624586,25.624586
target_gran1_blain,10,1,NeuralForecast_Nhits,20.23056,20.23056,20.23056,20.23056
target_gran1_blain,10,1,NeuralForecast_XLinear,14.928685,14.928685,14.928685,14.928685
target_gran1_blain,10,1,NeuralForecast_TFT,61.53877,61.53877,61.53877,61.53877
target_gran1_blain,10,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
target_gran1_blain,10,2,LinearRegression,25.83017,28.120394,25.83017,28.120394
target_gran1_blain,10,2,Chronos2,31.053356,33.123226,31.053356,33.123226
target_gran1_blain,10,2,NeuralForecast_BiTCN,59.363476,61.675835,59.363476,61.675835
target_gran1_blain,10,2,NeuralForecast_TSMixer,31.418125,34.12922,31.418125,34.12922
target_gran1_blain,10,2,NeuralForecast_Nhits,31.911741,34.22256,31.911741,34.22256
target_gran1_blain,10,2,NeuralForecast_XLinear,30.208797,32.676712,30.208797,32.676712
target_gran1_blain,10,2,NeuralForecast_TFT,53.31658,55.5474,53.31658,55.5474
target_gran1_blain,10,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
target_gran1_blain,10,3,LinearRegression,31.16416,34.87032,31.16416,34.87032
target_gran1_blain,10,3,Chronos2,37.513145,41.110996,37.513145,41.110996
target_gran1_blain,10,3,NeuralForecast_BiTCN,73.43191,77.525536,73.43191,77.525536
target_gran1_blain,10,3,NeuralForecast_TSMixer,41.362537,45.568012,41.362537,45.568012
target_gran1_blain,10,3,NeuralForecast_Nhits,32.900795,37.00369,32.900795,37.00369
target_gran1_blain,10,3,NeuralForecast_XLinear,37.117382,41.28264,37.117382,41.28264
target_gran1_blain,10,3,NeuralForecast_TFT,47.539963,51.13788,47.539963,51.13788
