sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000122,3756.0566,91,118
1970-01-01 00:00:00.000000123,3733.0447,91,118
1970-01-01 00:00:00.000000124,3736.2874,91,118
1970-01-01 00:00:00.000000120,3795.1567,91,119
1970-01-01 00:00:00.000000121,3778.5693,91,119
1970-01-01 00:00:00.000000122,3756.0566,91,119
1970-01-01 00:00:00.000000123,3733.0447,91,119
1970-01-01 00:00:00.000000124,3736.2874,91,119
1970-01-01 00:00:00.000000125,3740.736,91,119
1970-01-01 00:00:00.000000121,3778.5693,91,120
1970-01-01 00:00:00.000000122,3756.0566,91,120
1970-01-01 00:00:00.000000123,3733.0447,91,120
1970-01-01 00:00:00.000000124,3736.2874,91,120
1970-01-01 00:00:00.000000125,3740.736,91,120
1970-01-01 00:00:00.000000126,3738.8513,91,120
1970-01-01 00:00:00.000000122,3756.0566,91,121
1970-01-01 00:00:00.000000123,3733.0447,91,121
1970-01-01 00:00:00.000000124,3736.2874,91,121
1970-01-01 00:00:00.000000125,3740.736,91,121
1970-01-01 00:00:00.000000126,3738.8513,91,121
1970-01-01 00:00:00.000000127,3751.2053,91,121
1970-01-01 00:00:00.000000123,3733.0447,91,122
1970-01-01 00:00:00.000000124,3736.2874,91,122
1970-01-01 00:00:00.000000125,3740.736,91,122
1970-01-01 00:00:00.000000126,3738.8513,91,122
1970-01-01 00:00:00.000000127,3751.2053,91,122
1970-01-01 00:00:00.000000128,3744.1306,91,122
1970-01-01 00:00:00.000000124,3736.2874,91,123
1970-01-01 00:00:00.000000125,3740.736,91,123
1970-01-01 00:00:00.000000126,3738.8513,91,123
1970-01-01 00:00:00.000000127,3751.2053,91,123
1970-01-01 00:00:00.000000128,3744.1306,91,123
1970-01-01 00:00:00.000000129,3740.5574,91,123
1970-01-01 00:00:00.000000125,3740.736,91,124
1970-01-01 00:00:00.000000126,3738.8513,91,124
1970-01-01 00:00:00.000000127,3751.2053,91,124
1970-01-01 00:00:00.000000128,3744.1306,91,124
1970-01-01 00:00:00.000000129,3740.5574,91,124
