sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000054,75.01545,196,51
1970-01-01 00:00:00.000000055,74.98071,196,51
1970-01-01 00:00:00.000000056,74.98553,196,51
1970-01-01 00:00:00.000000057,74.96238,196,51
1970-01-01 00:00:00.000000053,74.69038,196,52
1970-01-01 00:00:00.000000054,75.01545,196,52
1970-01-01 00:00:00.000000055,74.98071,196,52
1970-01-01 00:00:00.000000056,74.98553,196,52
1970-01-01 00:00:00.000000057,74.96238,196,52
1970-01-01 00:00:00.000000058,75.103195,196,52
1970-01-01 00:00:00.000000054,75.01545,196,53
1970-01-01 00:00:00.000000055,74.98071,196,53
1970-01-01 00:00:00.000000056,74.98553,196,53
1970-01-01 00:00:00.000000057,74.96238,196,53
1970-01-01 00:00:00.000000058,75.103195,196,53
1970-01-01 00:00:00.000000059,75.67419,196,53
1970-01-01 00:00:00.000000055,74.98071,196,54
1970-01-01 00:00:00.000000056,74.98553,196,54
1970-01-01 00:00:00.000000057,74.96238,196,54
1970-01-01 00:00:00.000000058,75.103195,196,54
1970-01-01 00:00:00.000000059,75.67419,196,54
1970-01-01 00:00:00.000000060,76.1873,196,54
1970-01-01 00:00:00.000000004,77.18364,197,3
1970-01-01 00:00:00.000000005,77.00232,197,3
1970-01-01 00:00:00.000000006,76.94734,197,3
1970-01-01 00:00:00.000000007,76.7525,197,3
1970-01-01 00:00:00.000000008,76.564415,197,3
1970-01-01 00:00:00.000000009,76.18442,197,3
1970-01-01 00:00:00.000000005,77.00232,197,4
1970-01-01 00:00:00.000000006,76.94734,197,4
1970-01-01 00:00:00.000000007,76.7525,197,4
1970-01-01 00:00:00.000000008,76.564415,197,4
1970-01-01 00:00:00.000000009,76.18442,197,4
1970-01-01 00:00:00.000000010,76.05999,197,4
1970-01-01 00:00:00.000000006,76.94734,197,5
1970-01-01 00:00:00.000000007,76.7525,197,5
1970-01-01 00:00:00.000000008,76.564415,197,5
1970-01-01 00:00:00.000000009,76.18442,197,5
1970-01-01 00:00:00.000000010,76.05999,197,5
1970-01-01 00:00:00.000000011,75.82756,197,5
1970-01-01 00:00:00.000000007,76.7525,197,6
1970-01-01 00:00:00.000000008,76.564415,197,6
1970-01-01 00:00:00.000000009,76.18442,197,6
1970-01-01 00:00:00.000000010,76.05999,197,6
1970-01-01 00:00:00.000000011,75.82756,197,6
1970-01-01 00:00:00.000000012,75.68191,197,6
