sequence_index,return,block_idx,fcst_origin
1970-01-01 00:00:00.000000006,123.06416,111,5
1970-01-01 00:00:00.000000007,122.60893,111,6
1970-01-01 00:00:00.000000008,134.2998,111,7
1970-01-01 00:00:00.000000009,140.2218,111,8
1970-01-01 00:00:00.000000010,147.94836,111,9
1970-01-01 00:00:00.000000011,161.58833,111,10
1970-01-01 00:00:00.000000012,162.6075,111,11
1970-01-01 00:00:00.000000013,161.27826,111,12
1970-01-01 00:00:00.000000014,159.01956,111,13
1970-01-01 00:00:00.000000015,139.38193,111,14
1970-01-01 00:00:00.000000016,139.5967,111,15
1970-01-01 00:00:00.000000017,149.54666,111,16
1970-01-01 00:00:00.000000018,152.6224,111,17
1970-01-01 00:00:00.000000019,156.08844,111,18
1970-01-01 00:00:00.000000020,159.21106,111,19
1970-01-01 00:00:00.000000021,163.30533,111,20
1970-01-01 00:00:00.000000022,165.97917,111,21
1970-01-01 00:00:00.000000023,168.58043,111,22
1970-01-01 00:00:00.000000024,172.84224,111,23
1970-01-01 00:00:00.000000025,172.93474,111,24
1970-01-01 00:00:00.000000026,173.08827,111,25
1970-01-01 00:00:00.000000027,172.5666,111,26
1970-01-01 00:00:00.000000028,172.67754,111,27
1970-01-01 00:00:00.000000029,174.49054,111,28
1970-01-01 00:00:00.000000030,175.411,111,29
1970-01-01 00:00:00.000000031,175.28484,111,30
1970-01-01 00:00:00.000000032,176.29143,111,31
1970-01-01 00:00:00.000000033,173.95126,111,32
1970-01-01 00:00:00.000000034,171.20377,111,33
1970-01-01 00:00:00.000000035,170.01773,111,34
1970-01-01 00:00:00.000000036,174.1911,111,35
1970-01-01 00:00:00.000000037,178.69597,111,36
1970-01-01 00:00:00.000000038,182.24716,111,37
1970-01-01 00:00:00.000000039,181.93413,111,38
1970-01-01 00:00:00.000000040,185.97533,111,39
1970-01-01 00:00:00.000000041,185.93016,111,40
1970-01-01 00:00:00.000000042,187.86174,111,41
1970-01-01 00:00:00.000000043,190.11797,111,42
1970-01-01 00:00:00.000000044,195.0706,111,43
1970-01-01 00:00:00.000000045,197.50807,111,44
1970-01-01 00:00:00.000000046,196.54263,111,45
1970-01-01 00:00:00.000000047,196.8231,111,46
1970-01-01 00:00:00.000000048,200.67694,111,47
1970-01-01 00:00:00.000000049,201.03873,111,48
1970-01-01 00:00:00.000000050,202.9938,111,49
1970-01-01 00:00:00.000000051,199.755,111,50
1970-01-01 00:00:00.000000052,201.49217,111,51
1970-01-01 00:00:00.000000053,197.12427,111,52
1970-01-01 00:00:00.000000054,193.06224,111,53
1970-01-01 00:00:00.000000055,190.22623,111,54
1970-01-01 00:00:00.000000056,186.19374,111,55
1970-01-01 00:00:00.000000057,185.38896,111,56
1970-01-01 00:00:00.000000058,185.7886,111,57
1970-01-01 00:00:00.000000059,186.37517,111,58
1970-01-01 00:00:00.000000060,190.1468,111,59
1970-01-01 00:00:00.000000061,189.81804,111,60
1970-01-01 00:00:00.000000062,191.77744,111,61
1970-01-01 00:00:00.000000063,194.76843,111,62
1970-01-01 00:00:00.000000064,194.52083,111,63
1970-01-01 00:00:00.000000065,199.19003,111,64
1970-01-01 00:00:00.000000066,202.2325,111,65
1970-01-01 00:00:00.000000067,205.12807,111,66
1970-01-01 00:00:00.000000068,204.57007,111,67
1970-01-01 00:00:00.000000069,199.65306,111,68
1970-01-01 00:00:00.000000070,195.9143,111,69
1970-01-01 00:00:00.000000071,192.95424,111,70
1970-01-01 00:00:00.000000072,188.9603,111,71
1970-01-01 00:00:00.000000073,188.7392,111,72
1970-01-01 00:00:00.000000074,191.15024,111,73
1970-01-01 00:00:00.000000075,189.86436,111,74
1970-01-01 00:00:00.000000076,188.52226,111,75
1970-01-01 00:00:00.000000077,186.85744,111,76
1970-01-01 00:00:00.000000078,181.87917,111,77
1970-01-01 00:00:00.000000079,181.85333,111,78
1970-01-01 00:00:00.000000080,176.741,111,79
1970-01-01 00:00:00.000000081,176.17084,111,80
1970-01-01 00:00:00.000000082,170.8211,111,81
1970-01-01 00:00:00.000000083,170.2359,111,82
1970-01-01 00:00:00.000000084,172.50267,111,83
1970-01-01 00:00:00.000000085,170.35277,111,84
1970-01-01 00:00:00.000000086,169.3577,111,85
1970-01-01 00:00:00.000000087,166.197,111,86
1970-01-01 00:00:00.000000088,161.36954,111,87
1970-01-01 00:00:00.000000089,161.65984,111,88
