RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_return,RMSE_return,MAPE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
simple_model,4,4,NeuralForecast_XLinear,7.7538695,8.720647,1.6557193,3.9580426,4.4547753,4.269889,0.6444627,0.73542905,0.81316984,0.55014265,0.6187774,0.91620225,25.86285,29.073606,0.6236107
simple_model,4,4,NeuralForecast_TFT,11.68155,12.475041,2.0050344,4.401348,4.8758106,4.7443833,0.765676,0.8513296,0.95935035,0.83360094,0.89207315,1.3458911,40.725624,43.281,0.97051835
simple_model,4,6,NaiveLastValue,9.498532,10.827387,1.9943373,4.7106996,5.3768096,5.0119267,0.81364363,0.9426407,1.0190877,0.70847887,0.8016612,1.1756299,31.761324,36.188465,0.7707044
simple_model,4,6,LinearRegression,9.652489,11.007369,1.8600073,4.1152477,4.721622,4.4529347,0.8497411,0.9860163,1.0677598,0.6770299,0.7706585,1.1135455,32.968006,37.551205,0.8057939
simple_model,4,6,Chronos2,10.746908,12.19313,2.224117,5.2189116,5.957391,5.5564055,0.9245968,1.0710667,1.1595441,0.7835792,0.887393,1.3059185,36.06055,40.856636,0.87460566
simple_model,4,6,NeuralForecast_BiTCN,13.741679,14.956824,2.6022494,6.0630817,6.687303,6.3461165,1.1293954,1.2460072,1.3846197,0.95295125,1.0395046,1.5594554,46.821335,50.854496,1.1188126
simple_model,4,6,NeuralForecast_TSMixer,9.64586,10.985642,1.9154567,4.353887,4.99629,4.7113028,0.81999546,0.9505966,1.0305904,0.67697406,0.7671123,1.1252263,32.73258,37.228584,0.7947079
simple_model,4,6,NeuralForecast_Nhits,10.149918,11.703471,2.033813,4.73188,5.4146543,5.047025,0.82387066,0.9533167,1.0314904,0.734473,0.83872753,1.2201692,34.30939,39.60726,0.8365624
simple_model,4,6,NeuralForecast_XLinear,9.522326,10.870536,1.976183,4.6948733,5.362812,4.999038,0.7966009,0.9265996,1.0026132,0.67850405,0.7740858,1.1283357,31.919338,36.418633,0.7747581
simple_model,4,6,NeuralForecast_TFT,14.238937,15.353966,2.3743987,5.289028,5.908814,5.756039,0.91048515,1.0333519,1.1428632,0.82559,0.91183645,1.3378159,49.930527,53.56183,1.2608713
simple_model,6,2,NaiveLastValue,5.5685945,5.993977,1.2759547,3.0693145,3.3175652,3.3753145,0.48103252,0.5186568,0.6064638,0.4088787,0.44043845,0.68182945,18.315159,19.699247,0.44020745
simple_model,6,2,LinearRegression,4.8003335,5.2002506,1.1566046,2.6682239,2.9089031,2.9883316,0.48977467,0.53183794,0.61763525,0.38746554,0.4199251,0.6427352,15.655855,16.940344,0.37771732
simple_model,6,2,Chronos2,6.085747,6.5505276,1.3834684,3.3133187,3.5893672,3.6504817,0.54593784,0.58976966,0.68750584,0.4280302,0.4640175,0.7128232,20.055714,21.558966,0.48306546
simple_model,6,2,NeuralForecast_BiTCN,11.271791,11.669078,2.41798,5.487888,5.70302,5.533236,1.1726134,1.2042838,1.4058688,1.1552198,1.179644,1.821973,37.27145,38.589355,0.9108457
