RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_return,RMSE_return,MAPE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
all_targets,8,2,NeuralForecast_XLinear,5.355991,5.7900186,1.2475052,3.0583363,3.3039565,3.3659663,0.45217854,0.4900619,0.57226586,0.37659112,0.40966704,0.63036335,17.53686,18.956377,0.42142516
all_targets,8,2,NeuralForecast_TFT,17.188011,17.512794,1.9142879,3.7606392,4.0040374,4.2964277,0.59600466,0.63200563,0.75525725,0.5808188,0.6100371,0.9938195,63.814518,64.804985,1.6116422
all_targets,8,4,NaiveLastValue,7.821426,8.766336,1.6578298,3.9029443,4.396313,4.2168794,0.663824,0.7533008,0.8342585,0.57149786,0.63734907,0.9496055,26.1474,29.278366,0.63057446
all_targets,8,4,LinearRegression,8.230662,9.339571,0.8113881,0.16989623,0.19659087,0.19192605,1.0257074,1.1461709,1.2557296,0.66437286,0.75186443,1.0539751,31.062696,35.26363,0.7439208
all_targets,8,4,Chronos2,7.7800064,8.727838,1.6112047,3.6385632,4.10169,3.9192855,0.72178984,0.8169183,0.9038299,0.59708035,0.6694415,0.98959446,26.162584,29.32324,0.6321109
all_targets,8,4,NeuralForecast_BiTCN,26.06585,26.657764,4.000785,9.081745,9.426815,9.104279,1.5200529,1.5872293,1.824878,1.8283513,1.8736869,2.9109833,91.83328,93.74347,2.1630173
all_targets,8,4,NeuralForecast_TSMixer,8.423201,9.356842,1.6443466,3.7054956,4.200796,4.100517,0.6657862,0.7550296,0.8432488,0.56453025,0.6324663,0.9398915,28.756979,31.83906,0.69372886
all_targets,8,4,NeuralForecast_Nhits,8.207869,9.236873,1.6510626,3.8047915,4.290004,4.1360936,0.6616409,0.7509935,0.8326365,0.5841999,0.6548426,0.9623795,27.780827,31.251617,0.6731397
all_targets,8,4,NeuralForecast_XLinear,7.900796,8.844703,1.6566278,3.9447773,4.4263096,4.2713246,0.6532467,0.74113315,0.8265664,0.5348256,0.60230464,0.8891679,26.470304,29.609035,0.63945615
all_targets,8,4,NeuralForecast_TFT,9.756386,10.609095,1.782857,4.037027,4.4899435,4.2740197,0.72831184,0.813143,0.90966773,0.70025074,0.7608443,1.1418849,33.559933,36.37247,0.80585784
all_targets,8,6,NaiveLastValue,9.498532,10.827387,1.9943373,4.7106996,5.3768096,5.0119267,0.81364363,0.9426407,1.0190877,0.70847887,0.8016612,1.1756299,31.761324,36.188465,0.7707044
all_targets,8,6,LinearRegression,11.033174,12.736905,1.0795063,0.2381858,0.27533677,0.25782514,1.3892088,1.5699166,1.6868923,0.8724329,0.99324733,1.3714808,41.632877,48.109062,1.0018239
all_targets,8,6,Chronos2,9.379689,10.678303,1.9287145,4.36096,4.974564,4.616349,0.8775191,1.0148096,1.0975944,0.74644995,0.84806,1.2354805,31.533878,35.875797,0.7654242
all_targets,8,6,NeuralForecast_BiTCN,22.864536,23.838127,3.741541,8.634769,9.161229,8.446062,1.5815748,1.6811018,1.9032971,1.7217244,1.7913976,2.726757,79.52016,82.71874,1.8900431
all_targets,8,6,NeuralForecast_TSMixer,9.936518,11.263404,1.965295,4.4071574,5.0378194,4.8290033,0.8145911,0.9478105,1.0331929,0.70713896,0.8044416,1.1743941,33.81718,38.26353,0.82459706
all_targets,8,6,NeuralForecast_Nhits,11.562109,12.88943,2.104855,4.6826344,5.336991,5.018017,0.84508103,0.97283685,1.0528399,0.855902,0.95068216,1.3736514,39.864788,44.29716,0.9749107
all_targets,8,6,NeuralForecast_XLinear,9.615019,10.91898,1.9662329,4.6244082,5.2917953,4.9333887,0.8137651,0.94337374,1.0255239,0.67664486,0.77515405,1.1214327,32.345272,36.665615,0.7845898
all_targets,8,6,NeuralForecast_TFT,22.151806,23.278873,2.8721712,5.355965,5.9039583,6.037623,1.1473544,1.258015,1.3983202,1.2478839,1.3258663,2.0226717,80.85605,84.6277,2.0300705
