RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_second_chamber_filling,RMSE_second_chamber_filling
target_second_chamber_filling,6,1,NeuralForecast_TFT,1.0577586,1.0577586,1.0577586,1.0577586
target_second_chamber_filling,6,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
target_second_chamber_filling,6,2,LinearRegression,1.3675823,1.4921522,1.3675823,1.4921522
target_second_chamber_filling,6,2,Chronos2,1.5676477,1.6893156,1.5676477,1.6893156
target_second_chamber_filling,6,2,NeuralForecast_BiTCN,2.2601092,2.3550525,2.2601092,2.3550525
target_second_chamber_filling,6,2,NeuralForecast_TSMixer,1.263127,1.4205906,1.263127,1.4205906
target_second_chamber_filling,6,2,NeuralForecast_Nhits,1.8862665,2.0203252,1.8862665,2.0203252
target_second_chamber_filling,6,2,NeuralForecast_XLinear,1.5172926,1.6419461,1.5172926,1.6419461
target_second_chamber_filling,6,2,NeuralForecast_TFT,1.570891,1.6781715,1.570891,1.6781715
target_second_chamber_filling,6,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
target_second_chamber_filling,6,3,LinearRegression,1.789064,2.009919,1.789064,2.009919
target_second_chamber_filling,6,3,Chronos2,1.9896176,2.2099235,1.9896176,2.2099235
target_second_chamber_filling,6,3,NeuralForecast_BiTCN,2.6451156,2.8261058,2.6451156,2.8261058
target_second_chamber_filling,6,3,NeuralForecast_TSMixer,1.6385545,1.8511097,1.6385545,1.8511097
target_second_chamber_filling,6,3,NeuralForecast_Nhits,1.9486057,2.17227,1.9486057,2.17227
target_second_chamber_filling,6,3,NeuralForecast_XLinear,1.7229297,1.9356046,1.7229297,1.9356046
target_second_chamber_filling,6,3,NeuralForecast_TFT,2.0006006,2.1995041,2.0006006,2.1995041
target_second_chamber_filling,8,1,NaiveLastValue,0.9274494,0.9274494,0.9274494,0.9274494
target_second_chamber_filling,8,1,LinearRegression,0.9501232,0.9501232,0.9501232,0.9501232
target_second_chamber_filling,8,1,Chronos2,1.1328622,1.1328622,1.1328622,1.1328622
target_second_chamber_filling,8,1,NeuralForecast_BiTCN,2.0603456,2.0603456,2.0603456,2.0603456
target_second_chamber_filling,8,1,NeuralForecast_TSMixer,1.2769101,1.2769101,1.2769101,1.2769101
target_second_chamber_filling,8,1,NeuralForecast_Nhits,1.3846287,1.3846287,1.3846287,1.3846287
target_second_chamber_filling,8,1,NeuralForecast_XLinear,0.9804529,0.9804529,0.9804529,0.9804529
target_second_chamber_filling,8,1,NeuralForecast_TFT,1.2914522,1.2914522,1.2914522,1.2914522
target_second_chamber_filling,8,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
target_second_chamber_filling,8,2,LinearRegression,1.3655655,1.4896318,1.3655655,1.4896318
target_second_chamber_filling,8,2,Chronos2,1.5856376,1.7112219,1.5856376,1.7112219
