sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000007,3781.3274,84,6
1970-01-01 00:00:00.000000008,3761.488,84,6
1970-01-01 00:00:00.000000009,3764.6672,84,6
1970-01-01 00:00:00.000000010,3754.878,84,6
1970-01-01 00:00:00.000000011,3743.6448,84,6
1970-01-01 00:00:00.000000012,3748.0806,84,6
1970-01-01 00:00:00.000000008,3761.488,84,7
1970-01-01 00:00:00.000000009,3764.6672,84,7
1970-01-01 00:00:00.000000010,3754.878,84,7
1970-01-01 00:00:00.000000011,3743.6448,84,7
1970-01-01 00:00:00.000000012,3748.0806,84,7
1970-01-01 00:00:00.000000013,3750.028,84,7
1970-01-01 00:00:00.000000009,3764.6672,84,8
1970-01-01 00:00:00.000000010,3754.878,84,8
1970-01-01 00:00:00.000000011,3743.6448,84,8
1970-01-01 00:00:00.000000012,3748.0806,84,8
1970-01-01 00:00:00.000000013,3750.028,84,8
1970-01-01 00:00:00.000000014,3761.0747,84,8
1970-01-01 00:00:00.000000010,3754.878,84,9
1970-01-01 00:00:00.000000011,3743.6448,84,9
1970-01-01 00:00:00.000000012,3748.0806,84,9
1970-01-01 00:00:00.000000013,3750.028,84,9
1970-01-01 00:00:00.000000014,3761.0747,84,9
1970-01-01 00:00:00.000000015,3798.8552,84,9
1970-01-01 00:00:00.000000011,3743.6448,84,10
1970-01-01 00:00:00.000000012,3748.0806,84,10
1970-01-01 00:00:00.000000013,3750.028,84,10
1970-01-01 00:00:00.000000014,3761.0747,84,10
1970-01-01 00:00:00.000000015,3798.8552,84,10
1970-01-01 00:00:00.000000016,3832.71,84,10
1970-01-01 00:00:00.000000012,3748.0806,84,11
1970-01-01 00:00:00.000000013,3750.028,84,11
1970-01-01 00:00:00.000000014,3761.0747,84,11
1970-01-01 00:00:00.000000015,3798.8552,84,11
1970-01-01 00:00:00.000000016,3832.71,84,11
1970-01-01 00:00:00.000000017,3868.8813,84,11
1970-01-01 00:00:00.000000013,3750.028,84,12
1970-01-01 00:00:00.000000014,3761.0747,84,12
1970-01-01 00:00:00.000000015,3798.8552,84,12
1970-01-01 00:00:00.000000016,3832.71,84,12
1970-01-01 00:00:00.000000017,3868.8813,84,12
1970-01-01 00:00:00.000000018,3903.8147,84,12
1970-01-01 00:00:00.000000014,3761.0747,84,13
1970-01-01 00:00:00.000000015,3798.8552,84,13
1970-01-01 00:00:00.000000016,3832.71,84,13
1970-01-01 00:00:00.000000017,3868.8813,84,13
1970-01-01 00:00:00.000000018,3903.8147,84,13
1970-01-01 00:00:00.000000019,3916.4526,84,13
1970-01-01 00:00:00.000000015,3798.8552,84,14
1970-01-01 00:00:00.000000016,3832.71,84,14
1970-01-01 00:00:00.000000017,3868.8813,84,14
1970-01-01 00:00:00.000000018,3903.8147,84,14
1970-01-01 00:00:00.000000019,3916.4526,84,14
1970-01-01 00:00:00.000000020,3923.4907,84,14
1970-01-01 00:00:00.000000016,3832.71,84,15
1970-01-01 00:00:00.000000017,3868.8813,84,15
1970-01-01 00:00:00.000000018,3903.8147,84,15
1970-01-01 00:00:00.000000019,3916.4526,84,15
1970-01-01 00:00:00.000000020,3923.4907,84,15
1970-01-01 00:00:00.000000021,3924.6853,84,15
1970-01-01 00:00:00.000000017,3868.8813,84,16
1970-01-01 00:00:00.000000018,3903.8147,84,16
1970-01-01 00:00:00.000000019,3916.4526,84,16
1970-01-01 00:00:00.000000020,3923.4907,84,16
1970-01-01 00:00:00.000000021,3924.6853,84,16
1970-01-01 00:00:00.000000022,3910.642,84,16
1970-01-01 00:00:00.000000018,3903.8147,84,17
1970-01-01 00:00:00.000000019,3916.4526,84,17
1970-01-01 00:00:00.000000020,3923.4907,84,17
1970-01-01 00:00:00.000000021,3924.6853,84,17
1970-01-01 00:00:00.000000022,3910.642,84,17
1970-01-01 00:00:00.000000023,3907.02,84,17
1970-01-01 00:00:00.000000019,3916.4526,84,18
1970-01-01 00:00:00.000000020,3923.4907,84,18
1970-01-01 00:00:00.000000021,3924.6853,84,18
1970-01-01 00:00:00.000000022,3910.642,84,18
1970-01-01 00:00:00.000000023,3907.02,84,18
1970-01-01 00:00:00.000000024,3908.8406,84,18
