sequence_index,return,block_idx,fcst_origin
1970-01-01 00:00:00.000000033,88.33757,43,32
1970-01-01 00:00:00.000000034,86.8901,43,33
1970-01-01 00:00:00.000000035,86.36587,43,34
1970-01-01 00:00:00.000000036,85.34417,43,35
1970-01-01 00:00:00.000000037,83.117546,43,36
1970-01-01 00:00:00.000000038,83.929146,43,37
1970-01-01 00:00:00.000000039,82.306595,43,38
1970-01-01 00:00:00.000000040,81.03791,43,39
1970-01-01 00:00:00.000000041,78.25539,43,40
1970-01-01 00:00:00.000000042,72.25409,43,41
1970-01-01 00:00:00.000000043,70.34764,43,42
1970-01-01 00:00:00.000000044,64.865814,43,43
1970-01-01 00:00:00.000000045,62.232002,43,44
1970-01-01 00:00:00.000000046,62.144287,43,45
1970-01-01 00:00:00.000000047,67.333664,43,46
1970-01-01 00:00:00.000000048,66.41245,43,47
1970-01-01 00:00:00.000000049,65.75273,43,48
1970-01-01 00:00:00.000000050,69.58062,43,49
1970-01-01 00:00:00.000000051,70.33787,43,50
1970-01-01 00:00:00.000000052,69.27995,43,51
1970-01-01 00:00:00.000000033,53.238678,44,32
1970-01-01 00:00:00.000000034,54.815086,44,33
1970-01-01 00:00:00.000000035,58.7764,44,34
1970-01-01 00:00:00.000000036,57.798866,44,35
1970-01-01 00:00:00.000000037,57.191906,44,36
1970-01-01 00:00:00.000000038,57.048115,44,37
1970-01-01 00:00:00.000000033,78.80171,45,32
1970-01-01 00:00:00.000000034,94.35898,45,33
1970-01-01 00:00:00.000000035,105.46289,45,34
1970-01-01 00:00:00.000000033,126.32663,46,32
1970-01-01 00:00:00.000000034,133.9857,46,33
1970-01-01 00:00:00.000000035,121.9409,46,34
1970-01-01 00:00:00.000000036,122.2967,46,35
1970-01-01 00:00:00.000000037,125.2931,46,36
1970-01-01 00:00:00.000000038,128.38676,46,37
1970-01-01 00:00:00.000000039,130.95653,46,38
1970-01-01 00:00:00.000000040,130.6354,46,39
1970-01-01 00:00:00.000000041,137.45894,46,40
1970-01-01 00:00:00.000000042,131.7733,46,41
1970-01-01 00:00:00.000000043,128.95793,46,42
1970-01-01 00:00:00.000000044,132.94054,46,43
1970-01-01 00:00:00.000000045,121.47359,46,44
1970-01-01 00:00:00.000000033,56.662243,47,32
1970-01-01 00:00:00.000000034,57.596222,47,33
1970-01-01 00:00:00.000000035,58.40421,47,34
1970-01-01 00:00:00.000000036,58.652428,47,35
1970-01-01 00:00:00.000000037,59.90298,47,36
1970-01-01 00:00:00.000000038,58.537724,47,37
1970-01-01 00:00:00.000000039,58.23888,47,38
1970-01-01 00:00:00.000000040,58.07715,47,39
1970-01-01 00:00:00.000000041,56.363747,47,40
1970-01-01 00:00:00.000000042,51.487373,47,41
1970-01-01 00:00:00.000000043,42.915985,47,42
1970-01-01 00:00:00.000000033,127.769066,48,32
1970-01-01 00:00:00.000000034,124.2629,48,33
1970-01-01 00:00:00.000000035,120.67696,48,34
1970-01-01 00:00:00.000000036,124.26407,48,35
1970-01-01 00:00:00.000000037,120.903366,48,36
1970-01-01 00:00:00.000000038,124.6214,48,37
1970-01-01 00:00:00.000000039,129.0833,48,38
1970-01-01 00:00:00.000000040,125.224365,48,39
1970-01-01 00:00:00.000000041,138.67363,48,40
1970-01-01 00:00:00.000000042,140.71663,48,41
1970-01-01 00:00:00.000000043,141.838,48,42
1970-01-01 00:00:00.000000044,142.93196,48,43
1970-01-01 00:00:00.000000045,141.18536,48,44
1970-01-01 00:00:00.000000046,136.75256,48,45
1970-01-01 00:00:00.000000047,133.66237,48,46
1970-01-01 00:00:00.000000048,137.24863,48,47
1970-01-01 00:00:00.000000049,134.78746,48,48
1970-01-01 00:00:00.000000050,135.4035,48,49
1970-01-01 00:00:00.000000051,132.41763,48,50
1970-01-01 00:00:00.000000052,134.60733,48,51
1970-01-01 00:00:00.000000053,136.5384,48,52
1970-01-01 00:00:00.000000054,140.342,48,53
1970-01-01 00:00:00.000000055,143.25906,48,54
1970-01-01 00:00:00.000000056,150.6126,48,55
1970-01-01 00:00:00.000000057,153.91054,48,56
1970-01-01 00:00:00.000000058,151.0183,48,57
1970-01-01 00:00:00.000000059,149.1758,48,58
1970-01-01 00:00:00.000000060,152.1408,48,59
1970-01-01 00:00:00.000000061,153.16437,48,60
1970-01-01 00:00:00.000000062,150.7799,48,61
1970-01-01 00:00:00.000000063,150.03847,48,62
1970-01-01 00:00:00.000000064,147.97603,48,63
1970-01-01 00:00:00.000000065,146.7553,48,64
1970-01-01 00:00:00.000000066,149.33273,48,65
1970-01-01 00:00:00.000000067,151.10487,48,66
1970-01-01 00:00:00.000000068,150.40677,48,67
1970-01-01 00:00:00.000000069,152.2281,48,68
1970-01-01 00:00:00.000000070,153.14214,48,69
1970-01-01 00:00:00.000000071,155.39917,48,70
1970-01-01 00:00:00.000000072,155.3752,48,71
1970-01-01 00:00:00.000000073,156.1991,48,72
1970-01-01 00:00:00.000000074,160.54694,48,73
1970-01-01 00:00:00.000000075,164.7219,48,74
1970-01-01 00:00:00.000000076,172.83963,48,75
1970-01-01 00:00:00.000000077,169.67154,48,76
1970-01-01 00:00:00.000000078,173.69504,48,77
1970-01-01 00:00:00.000000079,172.82117,48,78
1970-01-01 00:00:00.000000080,173.0926,48,79
1970-01-01 00:00:00.000000081,170.32254,48,80
1970-01-01 00:00:00.000000082,168.53163,48,81
1970-01-01 00:00:00.000000083,167.46466,48,82
1970-01-01 00:00:00.000000084,166.04646,48,83
1970-01-01 00:00:00.000000085,170.4243,48,84
1970-01-01 00:00:00.000000086,170.71083,48,85
