RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_gran1_blain,RMSE_gran1_blain
simple_gran1_blain,6,2,NeuralForecast_Nhits,34.892147,37.19729,34.892147,37.19729
simple_gran1_blain,6,2,NeuralForecast_XLinear,31.54746,34.519962,31.54746,34.519962
simple_gran1_blain,6,2,NeuralForecast_TFT,99.31669,100.92135,99.31669,100.92135
simple_gran1_blain,6,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
simple_gran1_blain,6,3,LinearRegression,42.843006,47.395813,42.843006,47.395813
simple_gran1_blain,6,3,Chronos2,41.044346,45.03779,41.044346,45.03779
simple_gran1_blain,6,3,NeuralForecast_BiTCN,66.53807,69.9262,66.53807,69.9262
simple_gran1_blain,6,3,NeuralForecast_TSMixer,42.668285,47.09508,42.668285,47.09508
simple_gran1_blain,6,3,NeuralForecast_Nhits,41.97453,46.00884,41.97453,46.00884
simple_gran1_blain,6,3,NeuralForecast_XLinear,41.81108,46.637375,41.81108,46.637375
simple_gran1_blain,6,3,NeuralForecast_TFT,58.275608,62.27616,58.275608,62.27616
simple_gran1_blain,8,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
simple_gran1_blain,8,1,LinearRegression,19.341028,19.341028,19.341028,19.341028
simple_gran1_blain,8,1,Chronos2,21.689995,21.689995,21.689995,21.689995
simple_gran1_blain,8,1,NeuralForecast_BiTCN,57.761017,57.761017,57.761017,57.761017
simple_gran1_blain,8,1,NeuralForecast_TSMixer,20.88262,20.88262,20.88262,20.88262
simple_gran1_blain,8,1,NeuralForecast_Nhits,23.64129,23.64129,23.64129,23.64129
simple_gran1_blain,8,1,NeuralForecast_XLinear,16.625814,16.625814,16.625814,16.625814
simple_gran1_blain,8,1,NeuralForecast_TFT,73.8682,73.8682,73.8682,73.8682
simple_gran1_blain,8,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
simple_gran1_blain,8,2,LinearRegression,31.150076,33.780754,31.150076,33.780754
simple_gran1_blain,8,2,Chronos2,31.863367,34.130398,31.863367,34.130398
simple_gran1_blain,8,2,NeuralForecast_BiTCN,63.955246,65.71184,63.955246,65.71184
simple_gran1_blain,8,2,NeuralForecast_TSMixer,33.658848,36.349117,33.658848,36.349117
simple_gran1_blain,8,2,NeuralForecast_Nhits,35.252182,37.58689,35.252182,37.58689
simple_gran1_blain,8,2,NeuralForecast_XLinear,30.049158,33.003872,30.049158,33.003872
simple_gran1_blain,8,2,NeuralForecast_TFT,55.16685,57.44905,55.16685,57.44905
simple_gran1_blain,8,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
simple_gran1_blain,8,3,LinearRegression,41.13548,45.217617,41.13548,45.217617
simple_gran1_blain,8,3,Chronos2,39.685837,43.6221,39.685837,43.6221
simple_gran1_blain,8,3,NeuralForecast_BiTCN,71.57819,74.956924,71.57819,74.956924
simple_gran1_blain,8,3,NeuralForecast_TSMixer,42.697784,46.772125,42.697784,46.772125
simple_gran1_blain,8,3,NeuralForecast_Nhits,42.823315,47.329746,42.823315,47.329746
simple_gran1_blain,8,3,NeuralForecast_XLinear,42.11483,46.46183,42.11483,46.46183
simple_gran1_blain,8,3,NeuralForecast_TFT,75.114525,78.496284,75.114525,78.496284
simple_gran1_blain,10,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
simple_gran1_blain,10,1,LinearRegression,18.56026,18.56026,18.56026,18.56026
simple_gran1_blain,10,1,Chronos2,21.087076,21.087076,21.087076,21.087076
simple_gran1_blain,10,1,NeuralForecast_BiTCN,58.900227,58.900227,58.900227,58.900227
simple_gran1_blain,10,1,NeuralForecast_TSMixer,21.023907,21.023907,21.023907,21.023907
simple_gran1_blain,10,1,NeuralForecast_Nhits,24.075089,24.075089,24.075089,24.075089
simple_gran1_blain,10,1,NeuralForecast_XLinear,15.99523,15.99523,15.99523,15.99523
simple_gran1_blain,10,1,NeuralForecast_TFT,74.171196,74.171196,74.171196,74.171196
simple_gran1_blain,10,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
simple_gran1_blain,10,2,LinearRegression,29.568306,32.146988,29.568306,32.146988
simple_gran1_blain,10,2,Chronos2,30.25924,32.31962,30.25924,32.31962
simple_gran1_blain,10,2,NeuralForecast_BiTCN,60.735672,63.031643,60.735672,63.031643
simple_gran1_blain,10,2,NeuralForecast_TSMixer,30.696568,33.802883,30.696568,33.802883
simple_gran1_blain,10,2,NeuralForecast_Nhits,35.006912,37.46747,35.006912,37.46747
simple_gran1_blain,10,2,NeuralForecast_XLinear,30.288633,33.251568,30.288633,33.251568
simple_gran1_blain,10,2,NeuralForecast_TFT,65.30747,67.556885,65.30747,67.556885
simple_gran1_blain,10,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
simple_gran1_blain,10,3,LinearRegression,38.784462,42.936573,38.784462,42.936573
simple_gran1_blain,10,3,Chronos2,36.865654,40.4416,36.865654,40.4416
simple_gran1_blain,10,3,NeuralForecast_BiTCN,63.753933,67.41042,63.753933,67.41042
simple_gran1_blain,10,3,NeuralForecast_TSMixer,47.758816,51.06436,47.758816,51.06436
simple_gran1_blain,10,3,NeuralForecast_Nhits,40.869648,44.940132,40.869648,44.940132
simple_gran1_blain,10,3,NeuralForecast_XLinear,37.592308,42.30553,37.592308,42.30553
simple_gran1_blain,10,3,NeuralForecast_TFT,61.23864,65.19706,61.23864,65.19706
