sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000097,5053.868,0,10
1970-01-01 00:00:00.000000098,4999.463,0,11
1970-01-01 00:00:00.000000099,4976.254,0,12
1970-01-01 00:00:00.000000100,4957.0625,0,13
1970-01-01 00:00:00.000000101,4933.1055,0,14
1970-01-01 00:00:00.000000102,4931.266,0,15
1970-01-01 00:00:00.000000079,3752.2786,2,10
1970-01-01 00:00:00.000000080,3720.2498,2,11
1970-01-01 00:00:00.000000081,3718.4211,2,12
1970-01-01 00:00:00.000000119,4864.6606,6,10
1970-01-01 00:00:00.000000120,4790.8564,6,11
1970-01-01 00:00:00.000000121,4753.398,6,12
1970-01-01 00:00:00.000000122,4765.916,6,13
1970-01-01 00:00:00.000000123,4820.931,6,14
1970-01-01 00:00:00.000000124,4915.414,6,15
1970-01-01 00:00:00.000000125,4993.844,6,16
1970-01-01 00:00:00.000000126,5014.8345,6,17
1970-01-01 00:00:00.000000127,4986.6035,6,18
1970-01-01 00:00:00.000000128,4968.635,6,19
1970-01-01 00:00:00.000000113,3799.5137,7,10
1970-01-01 00:00:00.000000114,3809.7617,7,11
1970-01-01 00:00:00.000000115,3813.115,7,12
1970-01-01 00:00:00.000000116,3819.1443,7,13
1970-01-01 00:00:00.000000117,3803.759,7,14
1970-01-01 00:00:00.000000118,3787.3564,7,15
1970-01-01 00:00:00.000000119,3777.0012,7,16
1970-01-01 00:00:00.000000120,3758.0618,7,17
1970-01-01 00:00:00.000000121,3764.7393,7,18
1970-01-01 00:00:00.000000083,4433.514,8,10
1970-01-01 00:00:00.000000084,4383.0566,8,11
1970-01-01 00:00:00.000000085,4331.5273,8,12
1970-01-01 00:00:00.000000092,3920.921,20,10
1970-01-01 00:00:00.000000093,3905.1543,20,11
1970-01-01 00:00:00.000000094,3884.9058,20,12
1970-01-01 00:00:00.000000095,3903.909,20,13
1970-01-01 00:00:00.000000096,3933.135,20,14
1970-01-01 00:00:00.000000100,3844.7156,43,10
1970-01-01 00:00:00.000000101,3861.5254,43,11
1970-01-01 00:00:00.000000102,3886.93,43,12
1970-01-01 00:00:00.000000103,3889.5107,43,13
1970-01-01 00:00:00.000000104,3865.5847,43,14
1970-01-01 00:00:00.000000105,3853.085,43,15
1970-01-01 00:00:00.000000083,3842.359,50,10
1970-01-01 00:00:00.000000084,3834.063,50,11
1970-01-01 00:00:00.000000085,3812.9485,50,12
1970-01-01 00:00:00.000000098,3790.5408,53,10
1970-01-01 00:00:00.000000099,3789.4875,53,11
1970-01-01 00:00:00.000000100,3828.2346,53,12
1970-01-01 00:00:00.000000101,3866.9568,53,13
1970-01-01 00:00:00.000000102,3881.3218,53,14
1970-01-01 00:00:00.000000103,3888.9292,53,15
1970-01-01 00:00:00.000000132,3681.2822,59,10
1970-01-01 00:00:00.000000133,3671.652,59,11
1970-01-01 00:00:00.000000134,3673.0566,59,12
1970-01-01 00:00:00.000000135,3675.597,59,13
1970-01-01 00:00:00.000000136,3692.5923,59,14
1970-01-01 00:00:00.000000137,3738.3506,59,15
1970-01-01 00:00:00.000000138,3787.37,59,16
1970-01-01 00:00:00.000000139,3807.9058,59,17
1970-01-01 00:00:00.000000140,3813.3743,59,18
1970-01-01 00:00:00.000000141,3850.932,59,19
1970-01-01 00:00:00.000000142,3882.8733,59,20
1970-01-01 00:00:00.000000143,3882.9033,59,21
1970-01-01 00:00:00.000000122,5129.571,61,10
1970-01-01 00:00:00.000000123,5121.7095,61,11
1970-01-01 00:00:00.000000124,5130.0796,61,12
1970-01-01 00:00:00.000000125,5138.813,61,13
1970-01-01 00:00:00.000000126,5110.8306,61,14
1970-01-01 00:00:00.000000127,5092.4634,61,15
1970-01-01 00:00:00.000000128,5113.781,61,16
1970-01-01 00:00:00.000000129,5141.142,61,17
1970-01-01 00:00:00.000000130,5147.637,61,18
1970-01-01 00:00:00.000000131,5145.259,61,19
1970-01-01 00:00:00.000000109,3928.7246,63,10
1970-01-01 00:00:00.000000110,3995.602,63,11
1970-01-01 00:00:00.000000111,4049.8542,63,12
1970-01-01 00:00:00.000000112,4070.1006,63,13
1970-01-01 00:00:00.000000113,4089.9683,63,14
1970-01-01 00:00:00.000000114,4102.663,63,15
1970-01-01 00:00:00.000000115,4084.4856,63,16
1970-01-01 00:00:00.000000116,4055.0288,63,17
1970-01-01 00:00:00.000000101,3759.774,64,10
1970-01-01 00:00:00.000000102,3745.8018,64,11
1970-01-01 00:00:00.000000103,3722.9177,64,12
1970-01-01 00:00:00.000000104,3713.5046,64,13
1970-01-01 00:00:00.000000105,3718.8557,64,14
1970-01-01 00:00:00.000000106,3722.195,64,15
1970-01-01 00:00:00.000000112,3489.5737,69,10
1970-01-01 00:00:00.000000113,3438.992,69,11
1970-01-01 00:00:00.000000114,3381.22,69,12
1970-01-01 00:00:00.000000115,3382.9902,69,13
1970-01-01 00:00:00.000000116,3394.057,69,14
