RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return
target_return,6,3,NeuralForecast_BiTCN,6.7934265,7.51851,6.7934265,7.51851
target_return,6,3,NeuralForecast_TSMixer,6.50832,7.350777,6.50832,7.350777
target_return,6,3,NeuralForecast_Nhits,6.562563,7.2841806,6.562563,7.2841806
target_return,6,3,NeuralForecast_XLinear,6.70646,7.571329,6.70646,7.571329
target_return,6,3,NeuralForecast_TFT,5.8135085,6.53977,5.8135085,6.53977
target_return,8,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
target_return,8,1,LinearRegression,3.7472093,3.7472093,3.7472093,3.7472093
target_return,8,1,Chronos2,4.735345,4.735345,4.735345,4.735345
target_return,8,1,NeuralForecast_BiTCN,5.1492343,5.1492343,5.1492343,5.1492343
target_return,8,1,NeuralForecast_TSMixer,4.4607086,4.4607086,4.4607086,4.4607086
target_return,8,1,NeuralForecast_Nhits,4.346317,4.346317,4.346317,4.346317
target_return,8,1,NeuralForecast_XLinear,4.437515,4.437515,4.437515,4.437515
target_return,8,1,NeuralForecast_TFT,3.9412825,3.9412825,3.9412825,3.9412825
target_return,8,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
target_return,8,2,LinearRegression,4.6713557,5.138262,4.6713557,5.138262
target_return,8,2,Chronos2,6.0755386,6.617817,6.0755386,6.617817
target_return,8,2,NeuralForecast_BiTCN,5.921604,6.368881,5.921604,6.368881
target_return,8,2,NeuralForecast_TSMixer,5.035294,5.495562,5.035294,5.495562
target_return,8,2,NeuralForecast_Nhits,5.5278134,6.0358734,5.5278134,6.0358734
target_return,8,2,NeuralForecast_XLinear,5.633209,6.153206,5.633209,6.153206
target_return,8,2,NeuralForecast_TFT,4.7824845,5.247327,4.7824845,5.247327
target_return,8,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
target_return,8,3,LinearRegression,5.6375427,6.3837504,5.6375427,6.3837504
target_return,8,3,Chronos2,7.4084163,8.322048,7.4084163,8.322048
target_return,8,3,NeuralForecast_BiTCN,6.7434006,7.4607487,6.7434006,7.4607487
target_return,8,3,NeuralForecast_TSMixer,6.1099086,6.8686523,6.1099086,6.8686523
target_return,8,3,NeuralForecast_Nhits,6.4856105,7.328101,6.4856105,7.328101
target_return,8,3,NeuralForecast_XLinear,6.6958284,7.565114,6.6958284,7.565114
target_return,8,3,NeuralForecast_TFT,5.615719,6.3660526,5.615719,6.3660526
target_return,10,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
target_return,10,1,LinearRegression,3.756142,3.756142,3.756142,3.756142
target_return,10,1,Chronos2,4.807866,4.807866,4.807866,4.807866
target_return,10,1,NeuralForecast_BiTCN,5.3291144,5.3291144,5.3291144,5.3291144
target_return,10,1,NeuralForecast_TSMixer,4.356316,4.356316,4.356316,4.356316
target_return,10,1,NeuralForecast_Nhits,4.544241,4.544241,4.544241,4.544241
target_return,10,1,NeuralForecast_XLinear,4.716578,4.716578,4.716578,4.716578
target_return,10,1,NeuralForecast_TFT,4.040817,4.040817,4.040817,4.040817
target_return,10,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
target_return,10,2,LinearRegression,4.6501985,5.1103296,4.6501985,5.1103296
target_return,10,2,Chronos2,6.112373,6.6371474,6.112373,6.6371474
target_return,10,2,NeuralForecast_BiTCN,6.419834,6.859827,6.419834,6.859827
target_return,10,2,NeuralForecast_TSMixer,5.1684675,5.6470494,5.1684675,5.6470494
target_return,10,2,NeuralForecast_Nhits,5.8749347,6.3473024,5.8749347,6.3473024
target_return,10,2,NeuralForecast_XLinear,6.134354,6.671988,6.134354,6.671988
target_return,10,2,NeuralForecast_TFT,4.7044444,5.152898,4.7044444,5.152898
target_return,10,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
target_return,10,3,LinearRegression,5.6036873,6.3426666,5.6036873,6.3426666
target_return,10,3,Chronos2,7.3884354,8.277236,7.3884354,8.277236
target_return,10,3,NeuralForecast_BiTCN,6.841661,7.517571,6.841661,7.517571
target_return,10,3,NeuralForecast_TSMixer,6.63697,7.4616246,6.63697,7.4616246
target_return,10,3,NeuralForecast_Nhits,7.094828,7.851488,7.094828,7.851488
target_return,10,3,NeuralForecast_XLinear,6.822228,7.700914,6.822228,7.700914
target_return,10,3,NeuralForecast_TFT,5.6163006,6.352617,5.6163006,6.352617
