target,setpoint,iae_full,iae_per_minute_full,iae_controlled,iae_per_minute_controlled
return,80.0,2327.254496733833,10.1626833918508,765.096943731342,3.82548471865671
first_chamber_filling,50.0,8937.436670521569,39.028107731535236,7700.671490412297,38.503357452061486
second_chamber_filling,50.0,7435.513941773343,32.46949319551678,6329.241323613846,31.646206618069233
gran1_blain,5500.0,178618.6920889597,779.9942885980773,125899.16415540256,629.4958207770128
TOTAL_weighted,,22272.578950807936,97.26017009086435,17312.993040865535,86.56496520432768
