sequence_index,first_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000009,92.6254,6,8
1970-01-01 00:00:00.000000010,92.64854,6,8
1970-01-01 00:00:00.000000011,92.69292,6,8
1970-01-01 00:00:00.000000012,92.7141,6,8
1970-01-01 00:00:00.000000013,92.63888,6,8
1970-01-01 00:00:00.000000014,92.733406,6,8
1970-01-01 00:00:00.000000010,92.64854,6,9
1970-01-01 00:00:00.000000011,92.69292,6,9
1970-01-01 00:00:00.000000012,92.7141,6,9
1970-01-01 00:00:00.000000013,92.63888,6,9
1970-01-01 00:00:00.000000014,92.733406,6,9
1970-01-01 00:00:00.000000015,92.6003,6,9
1970-01-01 00:00:00.000000011,92.69292,6,10
1970-01-01 00:00:00.000000012,92.7141,6,10
1970-01-01 00:00:00.000000013,92.63888,6,10
1970-01-01 00:00:00.000000014,92.733406,6,10
1970-01-01 00:00:00.000000015,92.6003,6,10
1970-01-01 00:00:00.000000016,92.55016,6,10
1970-01-01 00:00:00.000000012,92.7141,6,11
1970-01-01 00:00:00.000000013,92.63888,6,11
1970-01-01 00:00:00.000000014,92.733406,6,11
1970-01-01 00:00:00.000000015,92.6003,6,11
1970-01-01 00:00:00.000000016,92.55016,6,11
1970-01-01 00:00:00.000000017,92.58296,6,11
1970-01-01 00:00:00.000000013,92.63888,6,12
1970-01-01 00:00:00.000000014,92.733406,6,12
1970-01-01 00:00:00.000000015,92.6003,6,12
1970-01-01 00:00:00.000000016,92.55016,6,12
1970-01-01 00:00:00.000000017,92.58296,6,12
1970-01-01 00:00:00.000000018,92.53087,6,12
1970-01-01 00:00:00.000000014,92.733406,6,13
1970-01-01 00:00:00.000000015,92.6003,6,13
1970-01-01 00:00:00.000000016,92.55016,6,13
1970-01-01 00:00:00.000000017,92.58296,6,13
1970-01-01 00:00:00.000000018,92.53087,6,13
1970-01-01 00:00:00.000000019,92.54439,6,13
1970-01-01 00:00:00.000000015,92.6003,6,14
1970-01-01 00:00:00.000000016,92.55016,6,14
1970-01-01 00:00:00.000000017,92.58296,6,14
1970-01-01 00:00:00.000000018,92.53087,6,14
1970-01-01 00:00:00.000000019,92.54439,6,14
1970-01-01 00:00:00.000000020,92.48461,6,14
1970-01-01 00:00:00.000000016,92.55016,6,15
1970-01-01 00:00:00.000000017,92.58296,6,15
1970-01-01 00:00:00.000000018,92.53087,6,15
1970-01-01 00:00:00.000000019,92.54439,6,15
1970-01-01 00:00:00.000000020,92.48461,6,15
1970-01-01 00:00:00.000000021,92.490395,6,15
1970-01-01 00:00:00.000000017,92.58296,6,16
1970-01-01 00:00:00.000000018,92.53087,6,16
1970-01-01 00:00:00.000000019,92.54439,6,16
1970-01-01 00:00:00.000000020,92.48461,6,16
1970-01-01 00:00:00.000000021,92.490395,6,16
1970-01-01 00:00:00.000000022,92.54825,6,16
1970-01-01 00:00:00.000000018,92.53087,6,17
1970-01-01 00:00:00.000000019,92.54439,6,17
1970-01-01 00:00:00.000000020,92.48461,6,17
1970-01-01 00:00:00.000000021,92.490395,6,17
1970-01-01 00:00:00.000000022,92.54825,6,17
1970-01-01 00:00:00.000000023,92.51161,6,17
1970-01-01 00:00:00.000000019,92.54439,6,18
1970-01-01 00:00:00.000000020,92.48461,6,18
1970-01-01 00:00:00.000000021,92.490395,6,18
1970-01-01 00:00:00.000000022,92.54825,6,18
1970-01-01 00:00:00.000000023,92.51161,6,18
1970-01-01 00:00:00.000000024,92.42286,6,18
1970-01-01 00:00:00.000000020,92.48461,6,19
1970-01-01 00:00:00.000000021,92.490395,6,19
1970-01-01 00:00:00.000000022,92.54825,6,19
1970-01-01 00:00:00.000000023,92.51161,6,19
1970-01-01 00:00:00.000000024,92.42286,6,19
