RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_first_chamber_filling,RMSE_first_chamber_filling
simple_first_chamber_filling,6,1,NeuralForecast_XLinear,0.8020396,0.8020396,0.8020396,0.8020396
simple_first_chamber_filling,6,1,NeuralForecast_TFT,0.8564209,0.8564209,0.8564209,0.8564209
simple_first_chamber_filling,6,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
simple_first_chamber_filling,6,2,LinearRegression,1.3282486,1.439735,1.3282486,1.439735
simple_first_chamber_filling,6,2,Chronos2,1.334107,1.4324926,1.334107,1.4324926
simple_first_chamber_filling,6,2,NeuralForecast_BiTCN,1.5839496,1.6723499,1.5839496,1.6723499
simple_first_chamber_filling,6,2,NeuralForecast_TSMixer,1.0681783,1.1608754,1.0681783,1.1608754
simple_first_chamber_filling,6,2,NeuralForecast_Nhits,1.6426804,1.7444011,1.6426804,1.7444011
simple_first_chamber_filling,6,2,NeuralForecast_XLinear,1.0697168,1.1600788,1.0697168,1.1600788
simple_first_chamber_filling,6,2,NeuralForecast_TFT,1.4654119,1.5503153,1.4654119,1.5503153
simple_first_chamber_filling,6,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
simple_first_chamber_filling,6,3,LinearRegression,1.6817343,1.8768908,1.6817343,1.8768908
simple_first_chamber_filling,6,3,Chronos2,1.6269498,1.8001863,1.6269498,1.8001863
simple_first_chamber_filling,6,3,NeuralForecast_BiTCN,1.6259366,1.7857007,1.6259366,1.7857007
simple_first_chamber_filling,6,3,NeuralForecast_TSMixer,1.4076313,1.5733926,1.4076313,1.5733926
simple_first_chamber_filling,6,3,NeuralForecast_Nhits,1.8732665,2.0825055,1.8732665,2.0825055
simple_first_chamber_filling,6,3,NeuralForecast_XLinear,1.3097715,1.4730638,1.3097715,1.4730638
simple_first_chamber_filling,6,3,NeuralForecast_TFT,1.9643031,2.121211,1.9643031,2.121211
simple_first_chamber_filling,8,1,NaiveLastValue,0.8430764,0.8430764,0.8430764,0.8430764
simple_first_chamber_filling,8,1,LinearRegression,0.9663624,0.9663624,0.9663624,0.9663624
simple_first_chamber_filling,8,1,Chronos2,1.0091087,1.0091087,1.0091087,1.0091087
simple_first_chamber_filling,8,1,NeuralForecast_BiTCN,1.2845991,1.2845991,1.2845991,1.2845991
simple_first_chamber_filling,8,1,NeuralForecast_TSMixer,0.8272594,0.8272594,0.8272594,0.8272594
simple_first_chamber_filling,8,1,NeuralForecast_Nhits,1.2797137,1.2797137,1.2797137,1.2797137
simple_first_chamber_filling,8,1,NeuralForecast_XLinear,0.7862887,0.7862887,0.7862887,0.7862887
simple_first_chamber_filling,8,1,NeuralForecast_TFT,0.9144615,0.9144615,0.9144615,0.9144615
simple_first_chamber_filling,8,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
simple_first_chamber_filling,8,2,LinearRegression,1.3387859,1.450849,1.3387859,1.450849
simple_first_chamber_filling,8,2,Chronos2,1.324255,1.421623,1.324255,1.421623
simple_first_chamber_filling,8,2,NeuralForecast_BiTCN,1.5903637,1.6773045,1.5903637,1.6773045
simple_first_chamber_filling,8,2,NeuralForecast_TSMixer,1.1702818,1.2594959,1.1702818,1.2594959
simple_first_chamber_filling,8,2,NeuralForecast_Nhits,1.6281159,1.7432032,1.6281159,1.7432032
simple_first_chamber_filling,8,2,NeuralForecast_XLinear,1.0903491,1.1847352,1.0903491,1.1847352
simple_first_chamber_filling,8,2,NeuralForecast_TFT,1.2393646,1.3310007,1.2393646,1.3310007
simple_first_chamber_filling,8,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
simple_first_chamber_filling,8,3,LinearRegression,1.7022431,1.900455,1.7022431,1.900455
simple_first_chamber_filling,8,3,Chronos2,1.6115011,1.7858485,1.6115011,1.7858485
simple_first_chamber_filling,8,3,NeuralForecast_BiTCN,1.9670357,2.1198404,1.9670357,2.1198404
simple_first_chamber_filling,8,3,NeuralForecast_TSMixer,1.3923128,1.5535424,1.3923128,1.5535424
simple_first_chamber_filling,8,3,NeuralForecast_Nhits,2.0673368,2.2666857,2.0673368,2.2666857
simple_first_chamber_filling,8,3,NeuralForecast_XLinear,1.2999625,1.4648101,1.2999625,1.4648101
simple_first_chamber_filling,8,3,NeuralForecast_TFT,1.9562362,2.1119695,1.9562362,2.1119695
simple_first_chamber_filling,10,1,NaiveLastValue,0.8430764,0.8430764,0.8430764,0.8430764
simple_first_chamber_filling,10,1,LinearRegression,0.97870594,0.97870594,0.97870594,0.97870594
simple_first_chamber_filling,10,1,Chronos2,0.990659,0.990659,0.990659,0.990659
simple_first_chamber_filling,10,1,NeuralForecast_BiTCN,1.2863123,1.2863123,1.2863123,1.2863123
simple_first_chamber_filling,10,1,NeuralForecast_TSMixer,0.83616614,0.83616614,0.83616614,0.83616614
simple_first_chamber_filling,10,1,NeuralForecast_Nhits,0.85355353,0.85355353,0.85355353,0.85355353
simple_first_chamber_filling,10,1,NeuralForecast_XLinear,0.82303697,0.82303697,0.82303697,0.82303697
simple_first_chamber_filling,10,1,NeuralForecast_TFT,0.87101394,0.87101394,0.87101394,0.87101394
simple_first_chamber_filling,10,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
simple_first_chamber_filling,10,2,LinearRegression,1.3508598,1.4651966,1.3508598,1.4651966
simple_first_chamber_filling,10,2,Chronos2,1.2890964,1.3844306,1.2890964,1.3844306
simple_first_chamber_filling,10,2,NeuralForecast_BiTCN,1.7121451,1.7966298,1.7121451,1.7966298
simple_first_chamber_filling,10,2,NeuralForecast_TSMixer,1.2015365,1.2909993,1.2015365,1.2909993
simple_first_chamber_filling,10,2,NeuralForecast_Nhits,1.1249638,1.214027,1.1249638,1.214027
simple_first_chamber_filling,10,2,NeuralForecast_XLinear,1.0877906,1.1879767,1.0877906,1.1879767
simple_first_chamber_filling,10,2,NeuralForecast_TFT,1.2629256,1.348938,1.2629256,1.348938
simple_first_chamber_filling,10,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
simple_first_chamber_filling,10,3,LinearRegression,1.7189438,1.9199988,1.7189438,1.9199988
simple_first_chamber_filling,10,3,Chronos2,1.5648274,1.7392076,1.5648274,1.7392076
simple_first_chamber_filling,10,3,NeuralForecast_BiTCN,2.2353225,2.3901658,2.2353225,2.3901658
simple_first_chamber_filling,10,3,NeuralForecast_TSMixer,1.4806445,1.6388136,1.4806445,1.6388136
simple_first_chamber_filling,10,3,NeuralForecast_Nhits,1.3877388,1.5559424,1.3877388,1.5559424
simple_first_chamber_filling,10,3,NeuralForecast_XLinear,1.3262582,1.4880811,1.3262582,1.4880811
simple_first_chamber_filling,10,3,NeuralForecast_TFT,1.9603006,2.114886,1.9603006,2.114886
