sequence_index,return,block_idx,fcst_origin
1970-01-01 00:00:00.000000037,156.7836,189,34
1970-01-01 00:00:00.000000038,153.8953,189,34
1970-01-01 00:00:00.000000039,152.3542,189,34
1970-01-01 00:00:00.000000040,158.4235,189,34
1970-01-01 00:00:00.000000036,159.21637,189,35
1970-01-01 00:00:00.000000037,156.7836,189,35
1970-01-01 00:00:00.000000038,153.8953,189,35
1970-01-01 00:00:00.000000039,152.3542,189,35
1970-01-01 00:00:00.000000040,158.4235,189,35
1970-01-01 00:00:00.000000041,160.8789,189,35
1970-01-01 00:00:00.000000037,156.7836,189,36
1970-01-01 00:00:00.000000038,153.8953,189,36
1970-01-01 00:00:00.000000039,152.3542,189,36
1970-01-01 00:00:00.000000040,158.4235,189,36
1970-01-01 00:00:00.000000041,160.8789,189,36
1970-01-01 00:00:00.000000042,164.9492,189,36
1970-01-01 00:00:00.000000038,153.8953,189,37
1970-01-01 00:00:00.000000039,152.3542,189,37
1970-01-01 00:00:00.000000040,158.4235,189,37
1970-01-01 00:00:00.000000041,160.8789,189,37
1970-01-01 00:00:00.000000042,164.9492,189,37
1970-01-01 00:00:00.000000043,156.8916,189,37
1970-01-01 00:00:00.000000039,152.3542,189,38
1970-01-01 00:00:00.000000040,158.4235,189,38
1970-01-01 00:00:00.000000041,160.8789,189,38
1970-01-01 00:00:00.000000042,164.9492,189,38
1970-01-01 00:00:00.000000043,156.8916,189,38
1970-01-01 00:00:00.000000044,158.67836,189,38
1970-01-01 00:00:00.000000040,158.4235,189,39
1970-01-01 00:00:00.000000041,160.8789,189,39
1970-01-01 00:00:00.000000042,164.9492,189,39
1970-01-01 00:00:00.000000043,156.8916,189,39
1970-01-01 00:00:00.000000044,158.67836,189,39
1970-01-01 00:00:00.000000045,157.31483,189,39
1970-01-01 00:00:00.000000041,160.8789,189,40
1970-01-01 00:00:00.000000042,164.9492,189,40
1970-01-01 00:00:00.000000043,156.8916,189,40
1970-01-01 00:00:00.000000044,158.67836,189,40
1970-01-01 00:00:00.000000045,157.31483,189,40
1970-01-01 00:00:00.000000046,156.20203,189,40
1970-01-01 00:00:00.000000042,164.9492,189,41
1970-01-01 00:00:00.000000043,156.8916,189,41
1970-01-01 00:00:00.000000044,158.67836,189,41
1970-01-01 00:00:00.000000045,157.31483,189,41
1970-01-01 00:00:00.000000046,156.20203,189,41
1970-01-01 00:00:00.000000047,152.46024,189,41
1970-01-01 00:00:00.000000043,156.8916,189,42
1970-01-01 00:00:00.000000044,158.67836,189,42
1970-01-01 00:00:00.000000045,157.31483,189,42
1970-01-01 00:00:00.000000046,156.20203,189,42
1970-01-01 00:00:00.000000047,152.46024,189,42
1970-01-01 00:00:00.000000048,146.4519,189,42
1970-01-01 00:00:00.000000044,158.67836,189,43
1970-01-01 00:00:00.000000045,157.31483,189,43
1970-01-01 00:00:00.000000046,156.20203,189,43
1970-01-01 00:00:00.000000047,152.46024,189,43
1970-01-01 00:00:00.000000048,146.4519,189,43
1970-01-01 00:00:00.000000049,146.00673,189,43
1970-01-01 00:00:00.000000045,157.31483,189,44
