RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
target_gran1_blain,60,15,NaiveLastValue,9.81900712719298,11.304372235484609,0.22722373714554678,9.81900712719298,11.304372235484609,0.22722373714554678
target_gran1_blain,60,15,LinearRegression,10.49929431294885,12.08895177195078,0.23551723589880813,10.49929431294885,12.08895177195078,0.23551723589880813
target_gran1_blain,60,15,Darts_DLinear,59.39311226722722,86.80440689068045,1.3937768494959806,59.39311226722722,86.80440689068045,1.3937768494959806
target_gran1_blain,60,15,Darts_NLinear,18.942429880974476,22.232754280510083,0.44861939472396656,18.942429880974476,22.232754280510083,0.44861939472396656
target_gran1_blain,60,15,NeuralForecast_BiTCN,32.924765645731576,33.88591629323046,0.7341027040341158,32.924765645731576,33.88591629323046,0.7341027040341158
target_gran1_blain,60,15,NeuralForecast_TSMixer,8.024621460344468,9.220484441292404,0.18532496764436907,8.024621460344468,9.220484441292404,0.18532496764436907
target_gran1_blain,60,15,NeuralForecast_Nhits,9.910229291594284,11.389925403291238,0.22942944052470063,9.910229291594284,11.389925403291238,0.22942944052470063
target_gran1_blain,60,15,NeuralForecast_XLinear,8.495061243159212,9.752950819698183,0.19669954098337433,8.495061243159212,9.752950819698183,0.19669954098337433
target_gran1_blain,60,30,NaiveLastValue,15.52828334025758,18.023059273433176,0.3593190887711742,15.52828334025758,18.023059273433176,0.3593190887711742
target_gran1_blain,60,30,LinearRegression,16.890165609596785,19.711037524732934,0.37994297354041084,16.890165609596785,19.711037524732934,0.37994297354041084
target_gran1_blain,60,30,Darts_DLinear,77.7925886025188,102.14191629434248,1.8644360050045452,77.7925886025188,102.14191629434248,1.8644360050045452
target_gran1_blain,60,30,Darts_NLinear,21.495731099525386,26.079465516493467,0.5067738744286459,21.495731099525386,26.079465516493467,0.5067738744286459
target_gran1_blain,60,30,NeuralForecast_BiTCN,29.638978027937647,31.58860922651028,0.6637151381150301,29.638978027937647,31.58860922651028,0.6637151381150301
target_gran1_blain,60,30,NeuralForecast_TSMixer,13.333755406880034,15.417909994815124,0.30763747147502324,13.333755406880034,15.417909994815124,0.30763747147502324
target_gran1_blain,60,30,NeuralForecast_Nhits,15.567597130827046,18.07132339667501,0.36025782414370044,15.567597130827046,18.07132339667501,0.36025782414370044
target_gran1_blain,60,30,NeuralForecast_XLinear,13.702493312005243,15.842929739281299,0.31682123960103536,13.702493312005243,15.842929739281299,0.31682123960103536
target_gran1_blain,60,60,NaiveLastValue,23.622130816009054,27.639511123178938,0.5490350037026763,23.622130816009054,27.639511123178938,0.5490350037026763
target_gran1_blain,60,60,LinearRegression,28.97277441401825,34.28388173705772,0.6532829533295912,28.97277441401825,34.28388173705772,0.6532829533295912
