RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_return,RMSE_return,MAPE_return
target_return,60,15,NaiveLastValue,4.324205151398035,5.1224461331024544,5.531146805791134,4.324205151398035,5.1224461331024544,5.531146805791134
target_return,60,15,LinearRegression,1.3202794967563463,1.6460406199804982,1.5595789499304538,1.3202794967563463,1.6460406199804982,1.5595789499304538
target_return,60,15,Darts_DLinear,8.945178402116953,11.49470028306321,8.702815016605166,8.945178402116953,11.49470028306321,8.702815016605166
target_return,60,15,Darts_NLinear,2.8368654501415733,3.5239121272530305,3.0557306616411966,2.8368654501415733,3.5239121272530305,3.0557306616411966
target_return,60,15,NeuralForecast_BiTCN,2.7732926058205165,3.4225174214086005,3.037048173021424,2.7732926058205165,3.4225174214086005,3.037048173021424
target_return,60,15,NeuralForecast_TSMixer,1.852415477776899,2.234247664765197,2.6930097315075656,1.852415477776899,2.234247664765197,2.6930097315075656
target_return,60,15,NeuralForecast_Nhits,4.330897394187414,5.133069679868946,5.545141933132861,4.330897394187414,5.133069679868946,5.545141933132861
target_return,60,15,NeuralForecast_XLinear,3.4748007883815824,4.265308017423615,3.5379363520621663,3.4748007883815824,4.265308017423615,3.5379363520621663
target_return,60,30,NaiveLastValue,4.741326489336668,5.66931614374299,5.802153201819103,4.741326489336668,5.66931614374299,5.802153201819103
target_return,60,30,LinearRegression,1.4436512930560972,1.8372545131876505,1.975557566527114,1.4436512930560972,1.8372545131876505,1.975557566527114
target_return,60,30,Darts_DLinear,7.328598487152103,8.877639445163464,6.9972849247647435,7.328598487152103,8.877639445163464,6.9972849247647435
target_return,60,30,Darts_NLinear,2.8550148396580557,3.581376638553362,3.8503608868646766,2.8550148396580557,3.581376638553362,3.8503608868646766
target_return,60,30,NeuralForecast_BiTCN,2.9876212656506884,3.732905709951718,3.647783421535055,2.9876212656506884,3.732905709951718,3.647783421535055
target_return,60,30,NeuralForecast_TSMixer,1.9390926845349796,2.390487579290785,1.9425636761441905,1.9390926845349796,2.390487579290785,1.9425636761441905
target_return,60,30,NeuralForecast_Nhits,4.751030001604867,5.685188406064962,5.830162866051838,4.751030001604867,5.685188406064962,5.830162866051838
target_return,60,30,NeuralForecast_XLinear,3.8679054695959523,4.794022046952123,4.32560715650769,3.8679054695959523,4.794022046952123,4.32560715650769
target_return,60,60,NaiveLastValue,5.49906740556498,6.56534589517564,6.630622151708841,5.49906740556498,6.56534589517564,6.630622151708841
target_return,60,60,LinearRegression,1.5759486465886927,2.0245134576904973,1.5593090621872003,1.5759486465886927,2.0245134576904973,1.5593090621872003
target_return,60,60,Darts_DLinear,7.825613191017291,9.628177110692182,7.445599986970204,7.825613191017291,9.628177110692182,7.445599986970204
target_return,60,60,Darts_NLinear,2.6592546349708677,3.397973724227582,3.0229070435073475,2.6592546349708677,3.397973724227582,3.0229070435073475
target_return,60,60,NeuralForecast_BiTCN,3.1906038467957423,3.990064531836841,3.2840383875255355,3.1906038467957423,3.990064531836841,3.2840383875255355
target_return,60,60,NeuralForecast_TSMixer,2.4649205816069526,2.9231255683944823,2.6763730293324826,2.4649205816069526,2.9231255683944823,2.6763730293324826
target_return,60,60,NeuralForecast_Nhits,4.343363139544456,5.327865219978743,4.541372199123106,4.343363139544456,5.327865219978743,4.541372199123106
target_return,60,60,NeuralForecast_XLinear,4.374766336586395,5.427729057356103,4.856763104617492,4.374766336586395,5.427729057356103,4.856763104617492
target_return,120,15,NaiveLastValue,4.324205151398035,5.1224461331024544,5.531146805791134,4.324205151398035,5.1224461331024544,5.531146805791134
target_return,120,15,LinearRegression,1.4043186323318744,1.7464570026580453,1.5941661070288182,1.4043186323318744,1.7464570026580453,1.5941661070288182
target_return,120,15,Darts_DLinear,12.298248961226946,18.442620295898216,11.489148662537415,12.298248961226946,18.442620295898216,11.489148662537415
target_return,120,15,Darts_NLinear,5.193001336625778,6.428004076788548,6.22226851222527,5.193001336625778,6.428004076788548,6.22226851222527
target_return,120,15,NeuralForecast_BiTCN,3.0867965675993565,3.728775152888065,3.337768432606567,3.0867965675993565,3.728775152888065,3.337768432606567
target_return,120,15,NeuralForecast_TSMixer,2.7189181497101784,3.1084990197277906,2.781972758768905,2.7189181497101784,3.1084990197277906,2.781972758768905
target_return,120,15,NeuralForecast_Nhits,4.328359796593107,5.128777451156186,5.540533661561717,4.328359796593107,5.128777451156186,5.540533661561717
target_return,120,15,NeuralForecast_XLinear,3.429378866352793,4.209784893499247,3.416682425224897,3.429378866352793,4.209784893499247,3.416682425224897
target_return,120,30,NaiveLastValue,4.741326489336668,5.66931614374299,5.802153201819103,4.741326489336668,5.66931614374299,5.802153201819103
target_return,120,30,LinearRegression,1.4961365113728902,1.898059134694888,2.0301662620842147,1.4961365113728902,1.898059134694888,2.0301662620842147
target_return,120,30,Darts_DLinear,11.117439839944163,14.846596065464974,11.166763143797617,11.117439839944163,14.846596065464974,11.166763143797617
target_return,120,30,Darts_NLinear,5.347522813337644,6.602436345329801,6.326720987293739,5.347522813337644,6.602436345329801,6.326720987293739
target_return,120,30,NeuralForecast_BiTCN,3.3362607249976115,4.067247669599849,3.6100725201905246,3.3362607249976115,4.067247669599849,3.6100725201905246
target_return,120,30,NeuralForecast_TSMixer,2.7188425212504352,3.1311182616997857,3.0499509836794374,2.7188425212504352,3.1311182616997857,3.0499509836794374
target_return,120,30,NeuralForecast_Nhits,4.755106071024084,5.6906849496519,5.844496279079542,4.755106071024084,5.6906849496519,5.844496279079542
target_return,120,30,NeuralForecast_XLinear,3.736946758236944,4.673463885880731,3.6667409252080194,3.736946758236944,4.673463885880731,3.6667409252080194
target_return,120,60,NaiveLastValue,5.49906740556498,6.56534589517564,6.630622151708841,5.49906740556498,6.56534589517564,6.630622151708841
target_return,120,60,LinearRegression,1.5337793355685194,1.9868449790408942,1.534511895833002,1.5337793355685194,1.9868449790408942,1.534511895833002
target_return,120,60,Darts_DLinear,11.098853326180022,15.451195316083421,10.817412760787782,11.098853326180022,15.451195316083421,10.817412760787782
target_return,120,60,Darts_NLinear,4.779319149392265,6.223508685725984,4.841837640048944,4.779319149392265,6.223508685725984,4.841837640048944
target_return,120,60,NeuralForecast_BiTCN,3.6201358516250264,4.416592979637134,3.7693339407195383,3.6201358516250264,4.416592979637134,3.7693339407195383
target_return,120,60,NeuralForecast_TSMixer,2.426957245180363,2.8857871253063787,2.416622399022613,2.426957245180363,2.8857871253063787,2.416622399022613
target_return,120,60,NeuralForecast_Nhits,5.537542004048086,6.614154997741476,6.69505023098218,5.537542004048086,6.614154997741476,6.69505023098218
target_return,120,60,NeuralForecast_XLinear,4.111845865304288,5.136240214745055,4.1027403840945595,4.111845865304288,5.136240214745055,4.1027403840945595
