RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling
target_first_chamber_filling,60,15,NaiveLastValue,0.2723790515350893,0.3227823955291092,0.33000535091022937,0.2723790515350893,0.3227823955291092,0.33000535091022937
target_first_chamber_filling,60,15,LinearRegression,0.3030844221505787,0.35381506204292706,0.36049794813147673,0.3030844221505787,0.35381506204292706,0.36049794813147673
target_first_chamber_filling,60,15,Darts_DLinear,0.852776161905045,1.0774855471240075,0.9803159822567956,0.852776161905045,1.0774855471240075,0.9803159822567956
target_first_chamber_filling,60,15,Darts_NLinear,0.4027404787310833,0.4800292904100916,0.47150724265510363,0.4027404787310833,0.4800292904100916,0.47150724265510363
target_first_chamber_filling,60,15,NeuralForecast_BiTCN,0.5382917332195389,0.5739112302739452,0.6308503444327812,0.5382917332195389,0.5739112302739452,0.6308503444327812
target_first_chamber_filling,60,15,NeuralForecast_TSMixer,0.2840072411499151,0.3337367559650224,0.342392264990119,0.2840072411499151,0.3337367559650224,0.342392264990119
target_first_chamber_filling,60,15,NeuralForecast_Nhits,0.27423920184173833,0.32370325964012886,0.3320090261930331,0.27423920184173833,0.32370325964012886,0.3320090261930331
target_first_chamber_filling,60,15,NeuralForecast_XLinear,0.2601307524603036,0.3061653706685658,0.3136896609216774,0.2601307524603036,0.3061653706685658,0.3136896609216774
target_first_chamber_filling,60,30,NaiveLastValue,0.4204301038637316,0.5000916776051685,0.5086664610551063,0.4204301038637316,0.5000916776051685,0.5086664610551063
target_first_chamber_filling,60,30,LinearRegression,0.4559025269795547,0.5337658975320355,0.5407272523616867,0.4559025269795547,0.5337658975320355,0.5407272523616867
target_first_chamber_filling,60,30,Darts_DLinear,0.9466455157130117,1.1913439999368283,1.0951400160115674,0.9466455157130117,1.1913439999368283,1.0951400160115674
target_first_chamber_filling,60,30,Darts_NLinear,0.5305342009434691,0.6451457008118909,0.6237500396738124,0.5305342009434691,0.6451457008118909,0.6237500396738124
