RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling
target_second_chamber_filling,60,15,NaiveLastValue,0.4515282264254385,0.532254825330033,0.7863820775681659,0.4515282264254385,0.532254825330033,0.7863820775681659
target_second_chamber_filling,60,15,LinearRegression,0.42075300094734536,0.5017470085791844,0.7298377791699477,0.42075300094734536,0.5017470085791844,0.7298377791699477
target_second_chamber_filling,60,15,Darts_DLinear,0.8424066455883318,1.0775251556258854,1.405750047801057,0.8424066455883318,1.0775251556258854,1.405750047801057
target_second_chamber_filling,60,15,Darts_NLinear,0.5371738455743497,0.6461225497842021,0.9165012745772976,0.5371738455743497,0.6461225497842021,0.9165012745772976
target_second_chamber_filling,60,15,NeuralForecast_BiTCN,0.5925391193280666,0.6684589035848084,1.0162081913405638,0.5925391193280666,0.6684589035848084,1.0162081913405638
target_second_chamber_filling,60,15,NeuralForecast_TSMixer,0.42151959881912393,0.5008876562385791,0.7301567030927911,0.42151959881912393,0.5008876562385791,0.7301567030927911
target_second_chamber_filling,60,15,NeuralForecast_Nhits,0.4530020407124167,0.5335385689619215,0.7887959652305856,0.4530020407124167,0.5335385689619215,0.7887959652305856
target_second_chamber_filling,60,15,NeuralForecast_XLinear,0.4192533682856909,0.49762581704935865,0.7294638955426267,0.4192533682856909,0.49762581704935865,0.7294638955426267
target_second_chamber_filling,60,30,NaiveLastValue,0.5485446309375436,0.6506364644890495,0.9499685866815465,0.5485446309375436,0.6506364644890495,0.9499685866815465
target_second_chamber_filling,60,30,LinearRegression,0.5106962988998434,0.6114533884258845,0.8811647082643576,0.5106962988998434,0.6114533884258845,0.8811647082643576
target_second_chamber_filling,60,30,Darts_DLinear,1.2393369228500433,1.552133170235472,2.0712464922116465,1.2393369228500433,1.552133170235472,2.0712464922116465
target_second_chamber_filling,60,30,Darts_NLinear,0.6269827188698767,0.7673838637344197,1.068646253745906,0.6269827188698767,0.7673838637344197,1.068646253745906
target_second_chamber_filling,60,30,NeuralForecast_BiTCN,0.6835381008975697,0.7786616820089207,1.1574854636882645,0.6835381008975697,0.7786616820089207,1.1574854636882645
target_second_chamber_filling,60,30,NeuralForecast_TSMixer,0.5388841342482816,0.6386712582735338,0.9146425705833303,0.5388841342482816,0.6386712582735338,0.9146425705833303
target_second_chamber_filling,60,30,NeuralForecast_Nhits,0.5560109459075421,0.658605165664012,0.960540460574557,0.5560109459075421,0.658605165664012,0.960540460574557
target_second_chamber_filling,60,30,NeuralForecast_XLinear,0.5092079986014709,0.6089443985502633,0.8818566616831226,0.5092079986014709,0.6089443985502633,0.8818566616831226
target_second_chamber_filling,60,60,NaiveLastValue,0.7190693452128416,0.8492069665100902,1.2391562663127305,0.7190693452128416,0.8492069665100902,1.2391562663127305
target_second_chamber_filling,60,60,LinearRegression,0.6776240302508081,0.8054115875084021,1.1622750439054002,0.6776240302508081,0.8054115875084021,1.1622750439054002
target_second_chamber_filling,60,60,Darts_DLinear,1.2054392506273912,1.4590580493480367,2.0175855451126745,1.2054392506273912,1.4590580493480367,2.0175855451126745
target_second_chamber_filling,60,60,Darts_NLinear,0.870576772267599,1.044990867706209,1.4857641691120882,0.870576772267599,1.044990867706209,1.4857641691120882
target_second_chamber_filling,60,60,NeuralForecast_BiTCN,0.8891700604223883,1.00887586674032,1.5107732941094156,0.8891700604223883,1.00887586674032,1.5107732941094156
target_second_chamber_filling,60,60,NeuralForecast_TSMixer,0.7258768130203553,0.8496161037032463,1.2275181628756573,0.7258768130203553,0.8496161037032463,1.2275181628756573
target_second_chamber_filling,60,60,NeuralForecast_Nhits,0.7489072621558097,0.8824068493526664,1.2698451441493668,0.7489072621558097,0.8824068493526664,1.2698451441493668
target_second_chamber_filling,60,60,NeuralForecast_XLinear,0.6793004110331329,0.8072383150750576,1.171214631724628,0.6793004110331329,0.8072383150750576,1.171214631724628
target_second_chamber_filling,120,15,NaiveLastValue,0.4515282264254385,0.532254825330033,0.7863820775681659,0.4515282264254385,0.532254825330033,0.7863820775681659
target_second_chamber_filling,120,15,LinearRegression,0.4231900648494447,0.5060819671992445,0.7340071402321054,0.4231900648494447,0.5060819671992445,0.7340071402321054
target_second_chamber_filling,120,15,Darts_DLinear,1.3333587041040351,1.8951417865695963,2.2295824366485064,1.3333587041040351,1.8951417865695963,2.2295824366485064
target_second_chamber_filling,120,15,Darts_NLinear,0.7276500547774634,0.8717482221721686,1.2214134809640544,0.7276500547774634,0.8717482221721686,1.2214134809640544
