epoch,step,train_loss,val_loss
0,0,1.5099588632583618,
0,1,5.87436056137085,
0,2,1.6526310443878174,
0,3,3.6945960521698,
0,4,2.293759822845459,
0,5,0.5155438184738159,
0,6,0.2505142092704773,
0,7,0.8912535905838013,
0,8,0.7913653254508972,
0,9,0.1711483746767044,
0,10,0.7387211918830872,
0,11,0.7803318500518799,
0,12,0.4142884612083435,
0,13,0.2544572353363037,
0,13,,0.42851975560188293
1,14,0.46428897976875305,
1,15,0.4095035195350647,
1,16,0.18892601132392883,
1,17,0.2422724813222885,
1,18,0.35520994663238525,
1,19,0.31443554162979126,
1,20,0.16992585361003876,
1,21,0.19634820520877838,
1,22,0.28274235129356384,
1,23,0.25739797949790955,
1,24,0.1677936315536499,
1,25,0.1587074100971222,
1,26,0.21914803981781006,
1,27,0.22404487431049347,
1,27,,0.1352831870317459
2,28,0.15927964448928833,
2,29,0.14199192821979523,
2,30,0.1804969757795334,
2,31,0.19898396730422974,
2,32,0.15228678286075592,
2,33,0.1395098865032196,
2,34,0.160770982503891,
2,35,0.1750844568014145,
2,36,0.14870613813400269,
2,37,0.13674277067184448,
2,38,0.14770828187465668,
2,39,0.1512889564037323,
2,40,0.13774147629737854,
2,41,0.13249674439430237,
2,41,,0.10130715370178223
3,42,0.142593652009964,
3,43,0.1430456042289734,
3,44,0.138996884226799,
3,45,0.12787869572639465,
3,46,0.14452554285526276,
3,47,0.13505186140537262,
3,48,0.12344302982091904,
3,49,0.1515122801065445,
3,50,0.1363648921251297,
3,51,0.12557534873485565,
3,52,0.12323320657014847,
3,53,0.12596671283245087,
3,54,0.12997198104858398,
3,55,0.1107066422700882,
3,55,,0.06451407074928284
4,56,0.12790459394454956,
4,57,0.11995244026184082,
4,58,0.1172785609960556,
4,59,0.12143964320421219,
4,60,0.1183316558599472,
4,61,0.11322535574436188,
4,62,0.10622653365135193,
4,63,0.10942581295967102,
4,64,0.116786427795887,
4,65,0.11311019212007523,
4,66,0.10949632525444031,
4,67,0.1188836544752121,
4,68,0.11895032972097397,
4,69,0.11966125667095184,
4,69,,0.061695728451013565
5,70,0.11726339161396027,
5,71,0.11120124161243439,
5,72,0.10873588919639587,
5,73,0.10709469020366669,
5,74,0.10738975554704666,
5,75,0.10655485838651657,
5,76,0.11363808810710907,
5,77,0.10755845159292221,
5,78,0.10719821602106094,
5,79,0.1098969578742981,
5,80,0.10580120235681534,
5,81,0.10867227613925934,
5,82,0.1110876128077507,
5,83,0.10881954431533813,
5,83,,0.054375387728214264
6,84,0.1054261103272438,
6,85,0.10169655084609985,
6,86,0.1123172715306282,
6,87,0.10428185760974884,
6,88,0.1089768260717392,
6,89,0.10807238519191742,
6,90,0.10785575956106186,
6,91,0.10571582615375519,
6,92,0.11126754432916641,
6,93,0.1112106516957283,
6,94,0.10500677675008774,
6,95,0.10265669971704483,
6,96,0.11319099366664886,
6,97,0.10976502299308777,
6,97,,0.04771421104669571
7,98,0.10142828524112701,
7,99,0.10998347401618958,
7,100,0.09452923387289047,
7,101,0.10896612703800201,
7,102,0.10182279348373413,
7,103,0.10641933977603912,
7,104,0.09244399517774582,
7,105,0.09256093204021454,
7,106,0.08818545937538147,
7,107,0.0852440893650055,
7,108,0.08285865932703018,
7,109,0.07989384233951569,
7,110,0.07180576771497726,
7,111,0.08765656501054764,
7,111,,0.06621435284614563
8,112,0.09268394112586975,
8,113,0.0868682712316513,
8,114,0.06976079195737839,
8,115,0.0761050283908844,
8,116,0.089168980717659,
8,117,0.06835122406482697,
8,118,0.07260840386152267,
8,119,0.08080977946519852,
8,120,0.058880072087049484,
8,121,0.0695352852344513,
8,122,0.07457851618528366,
8,123,0.060291487723588943,
8,124,0.057426974177360535,
8,125,0.07793650031089783,
8,125,,0.045801106840372086
9,126,0.062123119831085205,
9,127,0.042934928089380264,
9,128,0.04722852632403374,
9,129,0.05639692023396492,
9,130,0.10536190867424011,
9,131,0.05199992656707764,
9,132,0.046671509742736816,
9,133,0.051314812153577805,
9,134,0.11268981546163559,
9,135,0.07139097154140472,
9,136,0.1269327998161316,
9,137,0.06707416474819183,
9,138,0.16940705478191376,
9,139,0.1328752338886261,
9,139,,0.09397243708372116
10,140,0.09988826513290405,
10,141,0.11436893790960312,
10,142,0.06740687042474747,
10,143,0.09979868680238724,
10,144,0.050727907568216324,
10,145,0.09139876067638397,
10,146,0.048314258456230164,
10,147,0.07792293280363083,
10,148,0.04218956455588341,
10,149,0.07388127595186234,
10,150,0.04648786410689354,
10,151,0.03610137850046158,
10,152,0.06272734701633453,
10,153,0.0571167878806591,
10,153,,0.017834845930337906
11,154,0.033547960221767426,
11,155,0.05883866921067238,
11,156,0.06257421523332596,
11,157,0.03286357596516609,
11,158,0.04345355182886124,
11,159,0.06519065797328949,
11,160,0.03372202068567276,
11,161,0.08187142759561539,
11,162,0.04340798035264015,
11,163,0.07663664221763611,
11,164,0.039976026862859726,
11,165,0.04238598793745041,
11,166,0.0673733726143837,
11,167,0.03263210877776146,
11,167,,0.05796042084693909
12,168,0.05850552022457123,
12,169,0.04934927821159363,
12,170,0.026434211060404778,
12,171,0.04366030544042587,
12,172,0.0635424256324768,
12,173,0.02999434620141983,
12,174,0.07970989495515823,
12,175,0.03605912998318672,
12,176,0.0999750941991806,
12,177,0.06949831545352936,
12,178,0.08974525332450867,
12,179,0.0974327027797699,
12,180,0.03962130472064018,
12,181,0.04322587326169014,
12,181,,0.06700313091278076
13,182,0.06934142857789993,
13,183,0.04657508805394173,
13,184,0.09063013643026352,
13,185,0.08406878262758255,
13,186,0.048531822860240936,
13,187,0.04837902635335922,
13,188,0.06941445171833038,
13,189,0.055001888424158096,
13,190,0.07512186467647552,
13,191,0.07110748440027237,
13,192,0.05476886034011841,
13,193,0.05730101838707924,
13,194,0.05888807028532028,
13,195,0.04102571681141853,
13,195,,0.07940376549959183
14,196,0.08279066532850266,
14,197,0.07466202229261398,
14,198,0.04322228208184242,
14,199,0.04432137310504913,
14,200,0.06635072082281113,
14,201,0.052186187356710434,
14,202,0.0677691176533699,
14,203,0.06456250697374344,
14,204,0.05046182498335838,
14,205,0.049498602747917175,
14,206,0.05548322573304176,
14,207,0.04782891273498535,
14,208,0.06270720809698105,
14,209,0.05433986335992813,
14,209,,0.04834089055657387
15,210,0.05421660467982292,
15,211,0.0508057065308094,
15,212,0.0520332045853138,
15,213,0.04525267705321312,
15,214,0.06025724485516548,
15,215,0.0533447228372097,
15,216,0.051737841218709946,
15,217,0.05212188884615898,
15,218,0.04778222367167473,
15,219,0.03681079298257828,
15,220,0.058122940361499786,
15,221,0.05227893218398094,
15,222,0.05610226094722748,
15,223,0.05077028274536133,
15,223,,0.04572425037622452
