target,setpoint,iae_full,iae_per_minute_full,iae_controlled,iae_per_minute_controlled
return,80.0,3966.833382860187,17.322416519040118,2404.6758298576965,12.023379149288482
first_chamber_filling,50.0,9124.623954227638,39.84551945077571,7887.858774118366,39.439293870591825
second_chamber_filling,50.0,7731.121487425127,33.7603558402844,6624.848869265632,33.12424434632816
gran1_blain,5500.0,153629.6477577521,670.8718242696598,100910.1198241949,504.55059912097454
TOTAL_weighted,,23895.171779667995,104.34572829549343,18935.585869725594,94.67792934862797
