epoch,step,train_loss,val_loss
0,0,0.01873045414686203,
0,1,0.016926253214478493,
0,2,0.015643971040844917,
0,3,0.015195976942777634,
0,4,0.014220129698514938,
0,5,0.015605404041707516,
0,6,0.014062870293855667,
0,7,0.016156181693077087,
0,7,,0.00848893728107214
1,8,0.014876577071845531,
1,9,0.015682468190789223,
1,10,0.014335705898702145,
1,11,0.013998954556882381,
1,12,0.012981412932276726,
1,13,0.015996942296624184,
1,14,0.013360031880438328,
1,15,0.017067236825823784,
1,15,,0.008221110329031944
2,16,0.014346499927341938,
2,17,0.015336450189352036,
2,18,0.014131166972219944,
2,19,0.012889408506453037,
2,20,0.013611888512969017,
2,21,0.013373802416026592,
2,22,0.013593190349638462,
2,23,0.014108633622527122,
2,23,,0.008076496422290802
3,24,0.013162442483007908,
3,25,0.014465666376054287,
3,26,0.013136561959981918,
3,27,0.013867671601474285,
3,28,0.013162973336875439,
3,29,0.014824329875409603,
3,30,0.014578394591808319,
3,31,0.013938482850790024,
3,31,,0.008096548728644848
4,32,0.013040176592767239,
4,33,0.014304379932582378,
4,34,0.014135831035673618,
4,35,0.013685151003301144,
4,36,0.013457247987389565,
4,37,0.013781479559838772,
4,38,0.014576940797269344,
4,39,0.014146707020699978,
4,39,,0.008164994418621063
5,40,0.014086580835282803,
5,41,0.013219396583735943,
5,42,0.013443628326058388,
5,43,0.012451104819774628,
5,44,0.013322304002940655,
5,45,0.01326527539640665,
5,46,0.015028372406959534,
5,47,0.012948106043040752,
5,47,,0.008106525056064129
6,48,0.013860689476132393,
6,49,0.013026063330471516,
6,50,0.01329633966088295,
6,51,0.01424477156251669,
6,52,0.013805908150970936,
6,53,0.012332256883382797,
6,54,0.014295520260930061,
6,55,0.010448332875967026,
6,55,,0.008297554217278957
7,56,0.013291615061461926,
7,57,0.013497649691998959,
7,58,0.01359663624316454,
7,59,0.013303392566740513,
7,60,0.012961839325726032,
7,61,0.012480002827942371,
7,62,0.013874346390366554,
7,63,0.01363957766443491,
7,63,,0.007905867882072926
8,64,0.012607879936695099,
8,65,0.014841130003333092,
8,66,0.012516067363321781,
8,67,0.012351315468549728,
8,68,0.013364630751311779,
8,69,0.01290915347635746,
8,70,0.0136919766664505,
8,71,0.013184855692088604,
8,71,,0.007738312240689993
9,72,0.013167142868041992,
9,73,0.014268273487687111,
9,74,0.012992984615266323,
9,75,0.012064585462212563,
9,76,0.01293618232011795,
9,77,0.0125733632594347,
9,78,0.013259781524538994,
9,79,0.017035746946930885,
9,79,,0.008027231320738792
10,80,0.013469426892697811,
10,81,0.013076727278530598,
10,82,0.013945724815130234,
10,83,0.013283525593578815,
10,84,0.012329005636274815,
10,85,0.012143314816057682,
10,86,0.012685291469097137,
10,87,0.013762131333351135,
10,87,,0.007726897485554218
11,88,0.012109977193176746,
11,89,0.011582942679524422,
11,90,0.012493308633565903,
11,91,0.01491287350654602,
11,92,0.013600360602140427,
11,93,0.012921893037855625,
11,94,0.012398348189890385,
11,95,0.01333699468523264,
11,95,,0.007711940910667181
12,96,0.013720222748816013,
12,97,0.01433921791613102,
12,98,0.01247825101017952,
12,99,0.012089408934116364,
12,100,0.012620266526937485,
12,101,0.011963052675127983,
12,102,0.013231148943305016,
12,103,0.013698246330022812,
12,103,,0.007809434551745653
13,104,0.012786620296537876,
13,105,0.013576440513134003,
13,106,0.013123099692165852,
13,107,0.012131165713071823,
13,108,0.012439020909368992,
13,109,0.012206566520035267,
13,110,0.012850368395447731,
13,111,0.01362578198313713,
13,111,,0.007720264606177807
14,112,0.013132764026522636,
14,113,0.012531314045190811,
14,114,0.012886644341051579,
14,115,0.01251346617937088,
14,116,0.013418218120932579,
14,117,0.012571319937705994,
14,118,0.011325063183903694,
14,119,0.011337099596858025,
14,119,,0.0072261677123606205
15,120,0.01314146351069212,
15,121,0.012685679830610752,
15,122,0.012740918435156345,
15,123,0.011779729276895523,
15,124,0.012304426170885563,
15,125,0.012590539641678333,
15,126,0.012448842637240887,
15,127,0.009379512630403042,
15,127,,0.007452047895640135
16,128,0.012326938100159168,
16,129,0.012236461043357849,
16,130,0.012207968160510063,
16,131,0.01301344484090805,
16,132,0.01351257972419262,
16,133,0.013444715179502964,
16,134,0.009995547123253345,
16,135,0.013305524364113808,
16,135,,0.007169308606535196
17,136,0.012801658362150192,
17,137,0.011904425919055939,
17,138,0.01338101364672184,
17,139,0.01284708920866251,
17,140,0.012163680978119373,
17,141,0.011560844257473946,
17,142,0.012087303213775158,
17,143,0.01687510684132576,
17,143,,0.007023092359304428
18,144,0.012433637864887714,
18,145,0.012080821208655834,
18,146,0.013469552621245384,
18,147,0.011744231916964054,
18,148,0.013004993088543415,
18,149,0.01201136875897646,
18,150,0.01277471985667944,
18,151,0.010511538945138454,
18,151,,0.007357161492109299
19,152,0.012162172235548496,
19,153,0.011704590171575546,
19,154,0.011807123199105263,
19,155,0.012394479475915432,
19,156,0.012347658164799213,
19,157,0.013389704748988152,
19,158,0.011953900568187237,
19,159,0.010771221481263638,
19,159,,0.0070279124192893505
20,160,0.012255491688847542,
20,161,0.013493773527443409,
20,162,0.012589782476425171,
20,163,0.0119865033775568,
20,164,0.011511972174048424,
20,165,0.012458635494112968,
20,166,0.011164859868586063,
20,167,0.009192662313580513,
20,167,,0.007090797647833824
21,168,0.01165750902146101,
21,169,0.011655425652861595,
21,170,0.012876966036856174,
21,171,0.01253387052565813,
21,172,0.011810566298663616,
21,173,0.011804367415606976,
21,174,0.011914018541574478,
21,175,0.0140236122533679,
21,175,,0.007108427584171295
22,176,0.012370861135423183,
22,177,0.01216191053390503,
22,178,0.012167164124548435,
22,179,0.01266113854944706,
22,180,0.011761801317334175,
22,181,0.011428138241171837,
22,182,0.011114253662526608,
22,183,0.014127460308372974,
22,183,,0.0068300096318125725
23,184,0.01118574757128954,
23,185,0.011497491039335728,
23,186,0.011689052917063236,
23,187,0.011440012603998184,
23,188,0.012936453334987164,
23,189,0.012141133658587933,
23,190,0.012219857424497604,
23,191,0.011448612436652184,
23,191,,0.006719094235450029
24,192,0.010964143089950085,
24,193,0.012241889722645283,
24,194,0.012071696110069752,
24,195,0.011356078088283539,
24,196,0.012945874594151974,
24,197,0.010377761907875538,
24,198,0.012658415362238884,
24,199,0.014344603754580021,
24,199,,0.006650801282376051
25,200,0.011999685317277908,
25,201,0.012464545667171478,
25,202,0.01093236729502678,
25,203,0.011687367223203182,
25,204,0.011519111692905426,
25,205,0.01091728825122118,
25,206,0.0128667913377285,
25,207,0.015664296224713326,
25,207,,0.006775692105293274
26,208,0.010743522085249424,
26,209,0.012405836954712868,
26,210,0.011448158882558346,
26,211,0.011735979467630386,
26,212,0.011613373644649982,
26,213,0.011943456716835499,
26,214,0.012419705279171467,
26,215,0.008988490328192711,
26,215,,0.007052234839648008
27,216,0.012453149072825909,
27,217,0.011457856744527817,
27,218,0.011448759585618973,
27,219,0.011303777806460857,
27,220,0.011106259189546108,
27,221,0.011837976053357124,
27,222,0.012394146993756294,
27,223,0.010347774252295494,
27,223,,0.0070064556784927845
28,224,0.01142367534339428,
28,225,0.012077008374035358,
28,226,0.01218169555068016,
28,227,0.010992542840540409,
28,228,0.0118801174685359,
28,229,0.01205282099545002,
28,230,0.010438185185194016,
28,231,0.010204357095062733,
28,231,,0.006798076909035444
29,232,0.011595935560762882,
29,233,0.012730329297482967,
29,234,0.01118736807256937,
29,235,0.01133339386433363,
29,236,0.011474472470581532,
29,237,0.01179466862231493,
29,238,0.01157465297728777,
29,239,0.012791574001312256,
29,239,,0.006683446001261473
