RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_second_chamber_filling,RMSE_second_chamber_filling
simple_second_chamber_filling,6,1,NeuralForecast_XLinear,0.9379365,0.9379365,0.9379365,0.9379365
simple_second_chamber_filling,6,1,NeuralForecast_TFT,0.93656516,0.93656516,0.93656516,0.93656516
simple_second_chamber_filling,6,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
simple_second_chamber_filling,6,2,LinearRegression,1.2667357,1.380391,1.2667357,1.380391
simple_second_chamber_filling,6,2,Chronos2,1.4379473,1.5605502,1.4379473,1.5605502
simple_second_chamber_filling,6,2,NeuralForecast_BiTCN,2.2001634,2.2932189,2.2001634,2.2932189
simple_second_chamber_filling,6,2,NeuralForecast_TSMixer,1.3000071,1.4162921,1.3000071,1.4162921
simple_second_chamber_filling,6,2,NeuralForecast_Nhits,1.2798072,1.3826625,1.2798072,1.3826625
simple_second_chamber_filling,6,2,NeuralForecast_XLinear,1.2702031,1.3877279,1.2702031,1.3877279
simple_second_chamber_filling,6,2,NeuralForecast_TFT,1.4981409,1.6105603,1.4981409,1.6105603
simple_second_chamber_filling,6,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
simple_second_chamber_filling,6,3,LinearRegression,1.678492,1.8784989,1.678492,1.8784989
simple_second_chamber_filling,6,3,Chronos2,1.8639998,2.0863872,1.8639998,2.0863872
simple_second_chamber_filling,6,3,NeuralForecast_BiTCN,2.5331233,2.7134101,2.5331233,2.7134101
simple_second_chamber_filling,6,3,NeuralForecast_TSMixer,1.6058266,1.8136426,1.6058266,1.8136426
simple_second_chamber_filling,6,3,NeuralForecast_Nhits,1.6504949,1.8362871,1.6504949,1.8362871
simple_second_chamber_filling,6,3,NeuralForecast_XLinear,1.6331704,1.861481,1.6331704,1.861481
simple_second_chamber_filling,6,3,NeuralForecast_TFT,1.8527977,2.0546882,1.8527977,2.0546882
simple_second_chamber_filling,8,1,NaiveLastValue,0.9274494,0.9274494,0.9274494,0.9274494
simple_second_chamber_filling,8,1,LinearRegression,0.88205284,0.88205284,0.88205284,0.88205284
simple_second_chamber_filling,8,1,Chronos2,1.0398257,1.0398257,1.0398257,1.0398257
simple_second_chamber_filling,8,1,NeuralForecast_BiTCN,1.9288579,1.9288579,1.9288579,1.9288579
simple_second_chamber_filling,8,1,NeuralForecast_TSMixer,1.1338784,1.1338784,1.1338784,1.1338784
simple_second_chamber_filling,8,1,NeuralForecast_Nhits,0.909427,0.909427,0.909427,0.909427
simple_second_chamber_filling,8,1,NeuralForecast_XLinear,0.95324796,0.95324796,0.95324796,0.95324796
simple_second_chamber_filling,8,1,NeuralForecast_TFT,0.9300712,0.9300712,0.9300712,0.9300712
simple_second_chamber_filling,8,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
simple_second_chamber_filling,8,2,LinearRegression,1.2730726,1.3850042,1.2730726,1.3850042
simple_second_chamber_filling,8,2,Chronos2,1.4365389,1.5571218,1.4365389,1.5571218
simple_second_chamber_filling,8,2,NeuralForecast_BiTCN,2.2442946,2.3378475,2.2442946,2.3378475
simple_second_chamber_filling,8,2,NeuralForecast_TSMixer,1.6603245,1.7912644,1.6603245,1.7912644
simple_second_chamber_filling,8,2,NeuralForecast_Nhits,1.3028123,1.4085335,1.3028123,1.4085335
simple_second_chamber_filling,8,2,NeuralForecast_XLinear,1.5717491,1.6908938,1.5717491,1.6908938
simple_second_chamber_filling,8,2,NeuralForecast_TFT,1.5616341,1.6692111,1.5616341,1.6692111
simple_second_chamber_filling,8,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
