sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000126,71.264465,20,15
1970-01-01 00:00:00.000000127,71.173805,20,16
1970-01-01 00:00:00.000000128,70.83913,20,17
1970-01-01 00:00:00.000000129,70.2334,20,18
1970-01-01 00:00:00.000000130,70.02914,20,19
1970-01-01 00:00:00.000000130,73.31404,21,10
1970-01-01 00:00:00.000000131,74.545715,21,11
1970-01-01 00:00:00.000000132,75.048225,21,12
1970-01-01 00:00:00.000000133,74.58718,21,13
1970-01-01 00:00:00.000000134,74.10108,21,14
1970-01-01 00:00:00.000000135,74.26504,21,15
1970-01-01 00:00:00.000000136,75.23245,21,16
1970-01-01 00:00:00.000000137,75.400276,21,17
1970-01-01 00:00:00.000000138,75.63175,21,18
1970-01-01 00:00:00.000000139,74.520645,21,19
1970-01-01 00:00:00.000000140,73.7172,21,20
1970-01-01 00:00:00.000000171,58.413395,22,10
1970-01-01 00:00:00.000000172,57.615738,22,11
1970-01-01 00:00:00.000000173,57.44984,22,12
1970-01-01 00:00:00.000000174,57.81925,22,13
1970-01-01 00:00:00.000000175,58.125004,22,14
1970-01-01 00:00:00.000000176,55.724354,22,15
1970-01-01 00:00:00.000000177,55.36748,22,16
1970-01-01 00:00:00.000000178,55.750393,22,17
1970-01-01 00:00:00.000000179,55.679966,22,18
1970-01-01 00:00:00.000000180,55.45524,22,19
1970-01-01 00:00:00.000000181,55.09838,22,20
1970-01-01 00:00:00.000000182,54.619022,22,21
1970-01-01 00:00:00.000000183,54.66725,22,22
1970-01-01 00:00:00.000000184,53.90238,22,23
1970-01-01 00:00:00.000000185,53.38445,22,24
1970-01-01 00:00:00.000000186,53.45967,22,25
1970-01-01 00:00:00.000000187,53.231106,22,26
1970-01-01 00:00:00.000000188,53.92651,22,27
1970-01-01 00:00:00.000000189,54.041275,22,28
1970-01-01 00:00:00.000000130,74.352806,23,10
1970-01-01 00:00:00.000000131,74.16282,23,11
1970-01-01 00:00:00.000000132,74.48206,23,12
1970-01-01 00:00:00.000000133,74.61032,23,13
1970-01-01 00:00:00.000000134,74.84568,23,14
1970-01-01 00:00:00.000000135,75.16879,23,15
1970-01-01 00:00:00.000000136,75.52276,23,16
1970-01-01 00:00:00.000000137,75.68673,23,17
1970-01-01 00:00:00.000000138,75.65779,23,18
1970-01-01 00:00:00.000000139,75.633675,23,19
1970-01-01 00:00:00.000000140,75.65971,23,20
1970-01-01 00:00:00.000000141,75.77496,23,21
1970-01-01 00:00:00.000000095,64.80421,25,10
1970-01-01 00:00:00.000000096,67.36111,25,11
1970-01-01 00:00:00.000000097,61.929966,25,12
1970-01-01 00:00:00.000000098,64.31135,25,13
1970-01-01 00:00:00.000000099,59.91899,25,14
1970-01-01 00:00:00.000000231,81.77565,26,10
1970-01-01 00:00:00.000000232,81.23167,26,11
1970-01-01 00:00:00.000000233,80.75329,26,12
1970-01-01 00:00:00.000000234,80.15914,26,13
1970-01-01 00:00:00.000000235,79.46662,26,14
1970-01-01 00:00:00.000000236,78.729744,26,15
1970-01-01 00:00:00.000000237,78.28125,26,16
1970-01-01 00:00:00.000000238,77.68711,26,17
1970-01-01 00:00:00.000000239,77.12866,26,18
1970-01-01 00:00:00.000000240,76.58466,26,19
1970-01-01 00:00:00.000000241,76.18151,26,20
1970-01-01 00:00:00.000000242,75.63271,26,21
1970-01-01 00:00:00.000000243,75.32119,26,22
1970-01-01 00:00:00.000000244,74.946945,26,23
1970-01-01 00:00:00.000000245,74.590065,26,24
1970-01-01 00:00:00.000000246,74.72702,26,25
1970-01-01 00:00:00.000000247,74.18884,26,26
1970-01-01 00:00:00.000000248,75.48804,26,27
1970-01-01 00:00:00.000000249,77.011955,26,28
1970-01-01 00:00:00.000000250,79.86689,26,29
1970-01-01 00:00:00.000000251,80.22184,26,30
1970-01-01 00:00:00.000000252,85.0868,26,31
1970-01-01 00:00:00.000000253,89.915115,26,32
1970-01-01 00:00:00.000000254,88.1144,26,33
1970-01-01 00:00:00.000000255,87.618645,26,34
1970-01-01 00:00:00.000000256,87.63696,26,35
1970-01-01 00:00:00.000000257,87.653366,26,36
1970-01-01 00:00:00.000000258,87.89354,26,37
1970-01-01 00:00:00.000000259,88.2812,26,38
1970-01-01 00:00:00.000000181,63.7664,29,10
1970-01-01 00:00:00.000000182,64.54188,29,11
1970-01-01 00:00:00.000000183,64.95853,29,12
1970-01-01 00:00:00.000000184,65.36747,29,13
1970-01-01 00:00:00.000000185,66.25577,29,14
1970-01-01 00:00:00.000000186,68.26196,29,15
1970-01-01 00:00:00.000000187,68.9564,29,16
