RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return
simple_return,6,3,LinearRegression,6.7189283,7.5147324,6.7189283,7.5147324
simple_return,6,3,Chronos2,7.744578,8.70445,7.744578,8.70445
simple_return,6,3,NeuralForecast_BiTCN,8.84855,9.640933,8.84855,9.640933
simple_return,6,3,NeuralForecast_TSMixer,8.178866,9.057265,8.178866,9.057265
simple_return,6,3,NeuralForecast_Nhits,6.7532654,7.5323167,6.7532654,7.5323167
simple_return,6,3,NeuralForecast_XLinear,7.425989,8.381779,7.425989,8.381779
simple_return,6,3,NeuralForecast_TFT,8.119558,8.958775,8.119558,8.958775
simple_return,8,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
simple_return,8,1,LinearRegression,4.6066747,4.6066747,4.6066747,4.6066747
simple_return,8,1,Chronos2,4.78179,4.78179,4.78179,4.78179
simple_return,8,1,NeuralForecast_BiTCN,6.2924323,6.2924323,6.2924323,6.2924323
simple_return,8,1,NeuralForecast_TSMixer,4.8926907,4.8926907,4.8926907,4.8926907
simple_return,8,1,NeuralForecast_Nhits,5.042789,5.042789,5.042789,5.042789
simple_return,8,1,NeuralForecast_XLinear,4.7677064,4.7677064,4.7677064,4.7677064
simple_return,8,1,NeuralForecast_TFT,5.0944395,5.0944395,5.0944395,5.0944395
simple_return,8,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
simple_return,8,2,LinearRegression,5.720725,6.209638,5.720725,6.209638
simple_return,8,2,Chronos2,6.1924276,6.7350616,6.1924276,6.7350616
simple_return,8,2,NeuralForecast_BiTCN,7.263293,7.735607,7.263293,7.735607
simple_return,8,2,NeuralForecast_TSMixer,6.870645,7.4095707,6.870645,7.4095707
simple_return,8,2,NeuralForecast_Nhits,5.9811153,6.489966,5.9811153,6.489966
simple_return,8,2,NeuralForecast_XLinear,6.3067493,6.883494,6.3067493,6.883494
simple_return,8,2,NeuralForecast_TFT,6.63782,7.1544533,6.63782,7.1544533
simple_return,8,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
simple_return,8,3,LinearRegression,6.718236,7.511027,6.718236,7.511027
simple_return,8,3,Chronos2,7.5663505,8.49264,7.5663505,8.49264
simple_return,8,3,NeuralForecast_BiTCN,8.976353,9.758739,8.976353,9.758739
simple_return,8,3,NeuralForecast_TSMixer,8.096394,8.995103,8.096394,8.995103
simple_return,8,3,NeuralForecast_Nhits,6.9465985,7.734478,6.9465985,7.734478
simple_return,8,3,NeuralForecast_XLinear,7.6763916,8.657616,7.6763916,8.657616
simple_return,8,3,NeuralForecast_TFT,8.006576,8.836776,8.006576,8.836776
simple_return,10,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
simple_return,10,1,LinearRegression,4.5987077,4.5987077,4.5987077,4.5987077
simple_return,10,1,Chronos2,4.8686748,4.8686748,4.8686748,4.8686748
simple_return,10,1,NeuralForecast_BiTCN,6.861218,6.861218,6.861218,6.861218
simple_return,10,1,NeuralForecast_TSMixer,4.8163013,4.8163013,4.8163013,4.8163013
simple_return,10,1,NeuralForecast_Nhits,4.9246974,4.9246974,4.9246974,4.9246974
simple_return,10,1,NeuralForecast_XLinear,4.8629065,4.8629065,4.8629065,4.8629065
simple_return,10,1,NeuralForecast_TFT,4.9028254,4.9028254,4.9028254,4.9028254
simple_return,10,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
simple_return,10,2,LinearRegression,5.703495,6.191393,5.703495,6.191393
simple_return,10,2,Chronos2,6.201282,6.726136,6.201282,6.726136
simple_return,10,2,NeuralForecast_BiTCN,7.8414354,8.322735,7.8414354,8.322735
simple_return,10,2,NeuralForecast_TSMixer,6.5737977,7.086884,6.5737977,7.086884
simple_return,10,2,NeuralForecast_Nhits,6.070227,6.5898347,6.070227,6.5898347
simple_return,10,2,NeuralForecast_XLinear,6.522752,7.082495,6.522752,7.082495
simple_return,10,2,NeuralForecast_TFT,6.6616974,7.1735473,6.6616974,7.1735473
simple_return,10,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
simple_return,10,3,LinearRegression,6.6866612,7.47938,6.6866612,7.47938
simple_return,10,3,Chronos2,7.526801,8.423584,7.526801,8.423584
simple_return,10,3,NeuralForecast_BiTCN,9.217277,10.023548,9.217277,10.023548
simple_return,10,3,NeuralForecast_TSMixer,7.668931,8.554167,7.668931,8.554167
simple_return,10,3,NeuralForecast_Nhits,6.919034,7.722233,6.919034,7.722233
simple_return,10,3,NeuralForecast_XLinear,7.56728,8.498872,7.56728,8.498872
simple_return,10,3,NeuralForecast_TFT,8.2353,9.061807,8.2353,9.061807
