epoch,step,train_loss,val_loss
0,0,0.04342209920287132,
0,1,0.15261997282505035,
0,2,0.05874284356832504,
0,3,0.04455724358558655,
0,4,0.035302676260471344,
0,5,0.03584648668766022,
0,6,0.04192894697189331,
0,7,0.035611871629953384,
0,8,0.032161444425582886,
0,9,0.02789635956287384,
0,10,0.04078321158885956,
0,11,0.031157493591308594,
0,12,0.03132833540439606,
0,13,0.029643433168530464,
0,14,0.036081138998270035,
0,15,0.02835366502404213,
0,16,0.028960859403014183,
0,17,0.026622043922543526,
0,18,0.02801213227212429,
0,19,0.030057303607463837,
0,20,0.03589979559183121,
0,21,0.03373415395617485,
0,22,0.03550485521554947,
0,23,0.030051425099372864,
0,24,0.026300307363271713,
0,25,0.024154214188456535,
0,26,0.025579020380973816,
0,27,0.02733186073601246,
0,28,0.027308419346809387,
0,29,0.0283809844404459,
0,30,0.027056369930505753,
0,31,0.027590038254857063,
0,32,0.028183061629533768,
0,33,0.023490307852625847,
0,34,0.026770690456032753,
0,35,0.028499826788902283,
0,36,0.032897114753723145,
0,37,0.027505239471793175,
0,38,0.024284323677420616,
0,39,0.028838789090514183,
0,40,0.02473459020256996,
0,41,0.026452580466866493,
0,42,0.027349790558218956,
0,43,0.02884526737034321,
0,44,0.026399435475468636,
0,45,0.02917294204235077,
0,46,0.030446384102106094,
0,47,0.03102622926235199,
0,48,0.02897574193775654,
0,49,0.03456086292862892,
0,49,,0.02302836999297142
1,50,0.027885807678103447,
1,51,0.030408840626478195,
1,52,0.026607448235154152,
1,53,0.02710256539285183,
1,54,0.02276601269841194,
1,55,0.03354758396744728,
1,56,0.024047954007983208,
1,57,0.02667790837585926,
1,58,0.027916284278035164,
1,59,0.02469494380056858,
1,60,0.026224562898278236,
1,61,0.029106875881552696,
1,62,0.02631865255534649,
1,63,0.026099706068634987,
1,64,0.02891153283417225,
1,65,0.03602880984544754,
1,66,0.02717905305325985,
1,67,0.029451729729771614,
1,68,0.029114525765180588,
1,69,0.027922742068767548,
1,70,0.02696777507662773,
1,71,0.024520976468920708,
1,72,0.023137759417295456,
1,73,0.0281674824655056,
1,74,0.03114330768585205,
1,75,0.037410102784633636,
1,76,0.02630056068301201,
1,77,0.025303717702627182,
1,78,0.02665436640381813,
1,79,0.02796737104654312,
1,80,0.027049018070101738,
1,81,0.026085883378982544,
1,82,0.025681685656309128,
1,83,0.026665640994906425,
1,84,0.02915632724761963,
1,85,0.027568690478801727,
1,86,0.025861341506242752,
1,87,0.0338197723031044,
1,88,0.0253977682441473,
1,89,0.03353455662727356,
1,90,0.02659565769135952,
1,91,0.025604724884033203,
1,92,0.02845865674316883,
1,93,0.030095703899860382,
1,94,0.03350881114602089,
1,95,0.029512206092476845,
1,96,0.032315708696842194,
1,97,0.02966359630227089,
1,98,0.031482428312301636,
1,99,0.03198099881410599,
1,99,,0.024736447259783745
2,100,0.033053524792194366,
2,101,0.02958139218389988,
2,102,0.030425099655985832,
2,103,0.02728492207825184,
2,104,0.028944339603185654,
2,105,0.029048603028059006,
2,106,0.02682335488498211,
2,107,0.03592763841152191,
2,108,0.024260612204670906,
2,109,0.027998458594083786,
2,110,0.028190800920128822,
2,111,0.0261294674128294,
2,112,0.026681268587708473,
2,113,0.025855286046862602,
2,114,0.025405682623386383,
2,115,0.0296724122017622,
2,116,0.03037411719560623,
2,117,0.02565464936196804,
2,118,0.02525140531361103,
2,119,0.026225149631500244,
2,120,0.03486137092113495,
2,121,0.026123076677322388,
2,122,0.03524745628237724,
2,123,0.030871419236063957,
2,124,0.027175679802894592,
2,125,0.024842092767357826,
2,126,0.02623673342168331,
2,127,0.02807549200952053,
2,128,0.027805905789136887,
2,129,0.029249684885144234,
2,130,0.03063073754310608,
2,131,0.02283494547009468,
2,132,0.03251631557941437,
2,133,0.022684723138809204,
2,134,0.032895319163799286,
2,135,0.02738746628165245,
2,136,0.026215100660920143,
2,137,0.02409747987985611,
2,138,0.023155780509114265,
2,139,0.03742653504014015,
2,140,0.02406240999698639,
2,141,0.02888481505215168,
2,142,0.032247915863990784,
2,143,0.026966407895088196,
2,144,0.030557068064808846,
2,145,0.02559928223490715,
2,146,0.02914196252822876,
2,147,0.033339399844408035,
2,148,0.03153996542096138,
2,149,0.026581138372421265,
2,149,,0.02487901970744133
3,150,0.02969784289598465,
3,151,0.03234202787280083,
3,152,0.027666371315717697,
3,153,0.031036406755447388,
3,154,0.025050407275557518,
